session_name,question,response,course_name
Day 3,worked well for the lecture presentations,The reading tasks and practical components.,NA
Day 3,could be improved for the lecture presentations,"I was happy with them, the font was sometimes a bit small but that's not really an issue.",NA
Day 3,worked well for the Data visualization,Everything was perfect! Really liked on how many graphical stuff we can do by coding.,NA
Day 3,could be improved for the Data visualization,"Even more practical examples with a whole day only for data visualization, because I think it was the most important part for us scientists.",NA
Day 3,could be improved for the group project assignment,Nothing.,NA
Day 3,worked well for the group project assignment,Worked fine!,NA
Day 3,worked well for the lecture presentations,Perfectly fine.,NA
Day 3,could be improved for the lecture presentations,Nothing.,NA
Day 3,worked well for the Data visualization,I was able to produce all the ggplots,NA
Day 3,could be improved for the Data visualization,At times it was a bit quick but Anders slowed down and repeated things when you asked so it was all good,NA
Day 3,could be improved for the group project assignment,Perhaps a bit more detailed which figures we should do. On the other hand the freedom was also nice,NA
Day 3,worked well for the group project assignment,"The final report was able to run, with a bit of help from my group members I was able to produce the necessary figures",NA
Day 3,worked well for the lecture presentations,I was very understandable. I liked the energy/ excitement of Luke,NA
Day 3,could be improved for the lecture presentations,Not sure. I really liked them,NA
Day 3,worked well for the Data visualization,It was good to have some more hands-on typing and less reading,NA
Day 3,could be improved for the Data visualization,Maybe more varieties in plots that are shown,NA
Day 3,could be improved for the group project assignment,More time or maybe coordinate the different projects and assign them to the group. More time to look through each group's files so the whole class can see the different types of plots that are possible/get more ideas for how to plot data,NA
Day 3,worked well for the group project assignment,It was interesting to work on a different data set and try to figure out what to plot and how to present the data.,NA
Day 3,worked well for the lecture presentations,"Good speakers, good amount of breaks and most of it was very visual",NA
Day 3,could be improved for the lecture presentations,Less reading portions would be great,NA
Day 3,worked well for the Data visualization,"It was great, very clear and easy to follow.",NA
Day 3,could be improved for the Data visualization,I think is great the way is taught,NA
Day 3,could be improved for the group project assignment,I think is great the way is was realized,NA
Day 3,worked well for the group project assignment,"I think it worked really well because our group had one of the volunteers to help, so she had more experience and helped a lot with different doubts",NA
Day 3,worked well for the lecture presentations,Having  to read the lectures individually and then just talk about key points,NA
Day 3,could be improved for the lecture presentations,I think it was ok,NA
Day 3,worked well for the Data visualization,"The code-along session was really well organized, and aspects of it built logically on top of one another.",NA
Day 3,could be improved for the Data visualization,It would have been nice to have more time.,NA
Day 3,could be improved for the group project assignment,"The instructions for how to get started were a bit confusing, which caused delays in getting started. This issue compounded on the fact that the amount of time we had was very short.",NA
Day 3,worked well for the group project assignment,It was a nice way to learn how to actually apply the concepts we'd learned in a more realistic setting.,NA
Day 3,worked well for the lecture presentations,"The professors were very engaged, and discussed the topics on the slides at length.",NA
Day 3,could be improved for the lecture presentations,"It might have been nice to have some more theory-based presentations. It seemed like certain concepts (YAML, HTML, README, etc.) were introduced to students before real explanations of these things were provided.",NA
Day 3,worked well for the Data visualization,It was very smooth and easy to follow along,NA
Day 3,could be improved for the Data visualization,"As I followed along a lot, I am not sure of how everything works.",NA
Day 3,could be improved for the group project assignment,Maybe set an expectation of how much should be done per person/as a group. We understand one table and at least one figure per person,NA
Day 3,worked well for the group project assignment,"The instructions were really clear, easy to find a dataset",NA
Day 3,worked well for the lecture presentations,"Not too much text on the slides, easy to follow",NA
Day 3,could be improved for the lecture presentations,Really small to read,NA
Day 3,worked well for the Data visualization,I think it was a very useful session where we've learned some fundamental skills.,NA
Day 3,could be improved for the Data visualization,It was going a tiny bit fast but it was fine,NA
Day 3,could be improved for the group project assignment,Maybe increase the need to interact with the other member of the team,NA
Day 3,worked well for the group project assignment,It was useful to get to use the tool in a more concret example.,NA
Day 3,worked well for the lecture presentations,It was very interesting,NA
Day 3,could be improved for the lecture presentations,I think it was great,NA
Day 3,worked well for the Data visualization,It was super fun! There was a good pace and it was really nice with a lot of exercises.,NA
Day 3,could be improved for the Data visualization,"I understand that there is no room for it, but if I could ask for one more thing it would be to learn how to customize the pictures more (in terms of font, sizes etc)",NA
Day 3,could be improved for the group project assignment,"It was hard to set the barrier of how hard to make it for ourselves, but I guess that's individual and nothing you can do anything about.",NA
Day 3,worked well for the group project assignment,I think we were well prepared for the task and it was fun to have a lot of freedom.,NA
Day 3,worked well for the lecture presentations,It was all good!,NA
Day 3,worked well for the Data visualization,the information about the layers. I used ggplot before but without understanding most of the time what corresponds to what.,NA
Day 3,could be improved for the Data visualization,I think it was very complete,NA
Day 3,could be improved for the group project assignment,Maybe assigning bthe type of data by the lecturers beforehand so not all the group have the same dataset would make it more fun,NA
Day 3,worked well for the group project assignment,Very well!,NA
Day 3,worked well for the lecture presentations,the information was clear and detailed.,NA
Day 3,could be improved for the lecture presentations,add information on how to delete files from GitHub,NA
Day 3,worked well for the Data visualization,"It is great with practical ""hands on"" sessions.",NA
Day 3,could be improved for the Data visualization,Slower tempo to really understand what we were doing.,NA
Day 3,could be improved for the group project assignment,It would have been nice with an introduction to the task from the teachers.,NA
Day 3,worked well for the group project assignment,It was nice to practice what we have learning and also nice to do it in a group to be able to help each other.,NA
Day 3,worked well for the lecture presentations,Engaged teachers!,NA
Day 3,could be improved for the lecture presentations,*,NA
Day 3,worked well for the Data visualization,"The follow along coding really comes into its own here, was very interactive and could really see what kind of things were possible. Fired the imagination well.",NA
Day 3,could be improved for the Data visualization,"The pace was too fast towards the end. When writing down the example questions, the pace was such that I couldn't really think about the questions, just rush to write down everything necessary.",NA
Day 3,could be improved for the group project assignment,"More time would be nice. I would have enjoyed doing some more sophisticated plots, however I suspect however much time you give people will find a way to fill it.Maybe some other data sets that draw people in so its not all squirrels and turtles?",NA
Day 3,worked well for the group project assignment,Was great to put the coding into action. Thoroughly enjoyed this step.,NA
Day 3,worked well for the lecture presentations,Your strength of feeling came across very clearly,NA
Day 3,could be improved for the lecture presentations,They were solid,NA
Day 3,worked well for the Data visualization,"The lecture, code-along and the exercises.",NA
Day 3,could be improved for the Data visualization,Have more time to go a bit slowly for each step.,NA
Day 3,worked well for the group project assignment,Everything.,NA
Day 3,worked well for the lecture presentations,Everything.,NA
Day 3,worked well for the Data visualization,"Good instructions, easy to follow along.",NA
Day 3,could be improved for the Data visualization,More time on the exercises to actually get to practice what you learned.,NA
Day 3,could be improved for the group project assignment,That it is clear to everyone that they have to finish within the time....but I think it was though..,NA
Day 3,worked well for the group project assignment,Nice to work together in a group and get some hands-on practice but also be able to learn from each other as well as help others.,NA
Day 3,worked well for the lecture presentations,Clear and informative.,NA
Day 3,could be improved for the lecture presentations,Do not have a suggestion.,NA
Day 3,worked well for the Data visualization,I really liked all the tools provided and the pace at which it was teach.I find all of the exercises very helpful.,NA
Day 3,could be improved for the Data visualization,"I would have like to have more time for this session so that we can go through different functions such as changing the size of the labels, seeing more about the different color palettes, etc.",NA
Day 3,could be improved for the group project assignment,"Probably more time to perform the groups assignment, and topic distribution so that it was something more than turtles and squirrels haha",NA
Day 3,worked well for the group project assignment,I really likes my teammates and I think the project really help to practice everything that we learned during the course. I felt datasets were very well chosen because they were similar to the ones seen in class.,NA
Day 3,worked well for the lecture presentations,Everything was very clear.,NA
Day 3,could be improved for the lecture presentations,"Maybe some basic concepts could be included in the slides.  For example, the basic structure of ggplot can be stated in the slides, etc.",NA
Day 3,worked well for the Data visualization,Increaseing level of complexity to graphs and code along,NA
Day 3,could be improved for the Data visualization,More time to explain why we choose this type of code not the other; or why some variables look better on x/y/color. I would prefer to spend more time on different aspects of visualization than on basics of Day 1.,NA
Day 3,could be improved for the group project assignment,"Unfortunately, we've chosen a highly categoric dataset and were struggling a little bit with that (squirrels), but that's on us. Also, it wasn't easy for me to work in this way because it's hard to trust other people coding skills and wait for them to provide their parts. But that's something I discovered today ; )",NA
Day 3,worked well for the group project assignment,It's good to practice newly acquired skills as soon as possible.,NA
Day 3,worked well for the lecture presentations,Everything seemed okay.,NA
Day 3,could be improved for the lecture presentations,Everything seemed okay.,NA
Day 3,worked well for the Data visualization,"It was so inspiring and charming. I cant stop imaging what I will be able to with visualization  tools. You made this session maybe even a bit more easer , thanks for that.",NA
Day 3,could be improved for the Data visualization,I wish that it could be longer. Maybe showing how to plot error bars or working with replicate measurements and their standard deviations. Surely I can find them in some other sources but still wanted to mention.,NA
Day 3,could be improved for the group project assignment,"It was a bit difficult to transfer the raw data and clean. If we did not have a good helper in our team, I dont know how we would manage it. Also I wish that we could make some examples of transfering a very simle excel file to R.",NA
Day 3,worked well for the group project assignment,it was very easy to follow and I felt confident when I saw some outputs with my own code. It was structured wisely.,NA
Day 3,worked well for the lecture presentations,I think they were really straight-forward and helpful.,NA
Day 3,could be improved for the lecture presentations,I have no suggestion. I want to keep them forever :),NA
Day 3,worked well for the Data visualization,good examples and exercises,NA
Day 3,could be improved for the Data visualization,more content,NA
Day 3,could be improved for the group project assignment,maybe let everyone have their name on final report,NA
Day 3,worked well for the group project assignment,"Clear tasks and procedure, and good enough for collaboration",NA
Day 3,worked well for the lecture presentations,Clear slides and interesting introduction on the first day,NA
Day 3,could be improved for the lecture presentations,Display of code can be larger,NA
Day 3,worked well for the Data visualization,It was easy to follow instructions and writing the code worked well.,NA
Day 3,could be improved for the Data visualization,"For me, the pace was just to high. I managed to write the code as the leader did but no time to reflect.",NA
Day 3,could be improved for the lecture presentations,Don't know.,NA
Day 3,worked well for the Data visualization,Really easy to follow all the data wrangling workflow!,NA
Day 3,could be improved for the Data visualization,It would be nice to see more plot examples,NA
Day 3,could be improved for the group project assignment,It would be great to have small challanges on what to visualize?,NA
Day 3,worked well for the group project assignment,Everyone managed to get reproducible projects! Great job!,NA
Day 3,worked well for the lecture presentations,Great idea with the stickers!,NA
Day 3,could be improved for the lecture presentations,everything was fine!,NA
Day 3,worked well for the Data visualization,The session was step by step and well explained. It was overall very easy to understand.,NA
Day 3,could be improved for the Data visualization,maybe there could be some more advanced tasks for the ones who have already had a bit of previous experience,NA
Day 3,could be improved for the group project assignment,No comments,NA
Day 3,worked well for the group project assignment,the task was adequately challenging and fun to do.,NA
Day 3,worked well for the lecture presentations,"Pace, level of explanations, the continuous help from helpers...",NA
Day 3,could be improved for the lecture presentations,Maybe a bit less reading,NA
Day 3,worked well for the Data visualization,It was good to code along and try to do many different types of plots.,NA
Day 3,could be improved for the Data visualization,As the time is limited I think there is nothing to improve because we covered a lot.,NA
Day 3,could be improved for the group project assignment,"We could maybe have two sessions of group assignment, one on the second day and the continuation on the third day.",NA
Day 3,worked well for the group project assignment,It worked well to start working together and then divide tasks so we could be more productive. And then merge everything together again. It was very good to have the change to practice how to use Github with the members of the team as collaborators.,NA
Day 3,worked well for the lecture presentations,It was a good idea to make us read concept and then to emphasise in the lecture presentations.,NA
Day 3,could be improved for the lecture presentations,I think the lectures were very good having the website as a support.,NA
Day 3,worked well for the Data visualization,I really liked that we were able to test different charts step by step.,NA
Day 3,could be improved for the Data visualization,"maybe a few more examples to practice, but other than that everything was ok",NA
Day 3,could be improved for the group project assignment,Difficult to say,NA
Day 3,worked well for the group project assignment,Well-described tasks and good communication in the group.,NA
Day 3,worked well for the lecture presentations,A new look at the use of coding and reproducibility.,NA
Day 3,could be improved for the lecture presentations,Everything was good.,NA
Day 3,worked well for the Data visualization,Material was very clear and ggplot2 very useful for creating figures.,NA
Day 3,could be improved for the Data visualization,"If there would be more time, more emphasis could be put into explaining in more detail how to modify the visual style of the figures.",NA
Day 3,could be improved for the group project assignment,I was happy with the group project.,NA
Day 3,worked well for the group project assignment,The group project was very good for going through things that we learned during the course.,NA
Day 3,worked well for the lecture presentations,The material was good and clearly explained.,NA
Day 3,could be improved for the lecture presentations,I was happy with the material.,NA
Day 3,worked well for the Data visualization,"Like the previous days I enjoyed the code along set up, to actually type in the code yourself is really helpful in learning.",NA
Day 3,could be improved for the Data visualization,It felt like we ran out of time a bit so the later parts of the session content was a bit rushed over. Good still that the material is available online so it will be possible ot repeat/catch up later.,NA
Day 3,could be improved for the group project assignment,"During the work I was missing clearer instructions on what we were going to do with the data (what results to show in the report), it felt like we spent quite some time trying to understand the data and what variables we could use. But now afterwards I think it was ok, after all the important thing was not to present excellent scientific data but to be able to get something out in a report using the coding we learnt. So maybe the instructions don't need to be clearer, but stressing that whatever you plot or show in the report figures and tables is not important (the exercise is how you get there) might be helpful?",NA
Day 3,worked well for the group project assignment,"Really good with an exercise without too much guidance, a good opportunity to start practising on your own. A lot of room to try out things we learnt in the sessions and also new things. A huge benefit of working in a group was that you could get help from other group members, which made it easier for me as a total beginner to get going.",NA
Day 3,worked well for the lecture presentations,Don't know,NA
Day 3,could be improved for the lecture presentations,Don't know,NA
