session_name,question,response,course_name
Day 1,could be improved for the Management of R projects,Good maybe go a bit faster sometimes,NA
Day 1,worked well for the Version control and collaborative practices,The coding along as well as the sticky method,NA
Day 1,could be improved for the Version control and collaborative practices,Good maybe go a bit faster sometimes,NA
Day 1,worked well for the Management of R projects,everything,NA
Day 1,could be improved for the Management of R projects,/,NA
Day 1,worked well for the Version control and collaborative practices,reading and code along,NA
Day 1,could be improved for the Version control and collaborative practices,the access token thing,NA
Day 1,worked well for the Management of R projects,It was easy to follow coding tasks and get help.,NA
Day 1,could be improved for the Management of R projects,I was happy with the session.,NA
Day 1,worked well for the Version control and collaborative practices,Following the session was easy and gave a good understanding of version control with git.,NA
Day 1,could be improved for the Version control and collaborative practices,I was happy with the session.,NA
Day 1,worked well for the Management of R projects,I believe it was a nice introduction to the course. The concepts were clear and the exercises were great.,NA
Day 1,could be improved for the Management of R projects,I think everything was good.,NA
Day 1,worked well for the Version control and collaborative practices,The exercises and the tutorial was easy to follow,NA
Day 1,could be improved for the Version control and collaborative practices,I think everything was good.,NA
Day 1,worked well for the Management of R projects,"Well, it was easy to follow the text and everything worked.",NA
Day 1,could be improved for the Management of R projects,I have no idea.,NA
Day 1,worked well for the Version control and collaborative practices,"Well, it was easy to follow the text and everything worked.",NA
Day 1,could be improved for the Version control and collaborative practices,"It was to late. I am not able to stay focused for such long days. So, I did the exercise and everything works but I really do not record why or what I'm doing. So really don't learn anything. But this is more of a time schedule issue than anything else.",NA
Day 1,worked well for the Management of R projects,all the process. It is new for me so more practicing will show if I really get how to use it,NA
Day 1,could be improved for the Management of R projects,I cannot think of a change. Definitely practe is needed but maybe that comes on day 2.,NA
Day 1,worked well for the Version control and collaborative practices,New information. Looks like I can properly use R from now on without losing info and with well organized format.,NA
Day 1,could be improved for the Version control and collaborative practices,It made more sense than the times I tried to understand it by my own. Maybe spending more time during the course on this will increase general understanding of GitHub use.,NA
Day 1,worked well for the Management of R projects,"I think everything worked very well, I especially liked the small tips and tricks about short commands etc.",NA
Day 1,could be improved for the Management of R projects,Don't have any improvements for this section.,NA
Day 1,worked well for the Version control and collaborative practices,Most of it worked very well. It was a very good pace and did not feel rushed even though it was a little bit complicated.,NA
Day 1,could be improved for the Version control and collaborative practices,"There were times where we were reading and doing the task and then after reading it we did the exact same thing together. This felt like a little bit of waste of time. Since the last parts were very hands on, maybe just a demonstration without the reading would be better.",NA
Day 1,worked well for the Management of R projects,I think the reading material is very well written and very self-explanatory.The system of sticky notes works very well,NA
Day 1,could be improved for the Management of R projects,"I like most of it, but I felt the introduction felt quite long.There was a lot of explanation on what we were gonna do, instead of actually doing it.",NA
Day 1,worked well for the Version control and collaborative practices,"I think it worked very well in general. Git was new to most if us and most managed to install, commit and push files.",NA
Day 1,could be improved for the Version control and collaborative practices,"Since git is new for most people, I feel that this specific part can have more verbal explanation rather than reading. I feel a verbal explanation of important concepts before reading can help. However, I felt it all worked very well regardless.",NA
Day 1,worked well for the Management of R projects,I liked that everything was done together. All the tasks were well described.,NA
Day 1,could be improved for the Management of R projects,Difficult to say.,NA
Day 1,worked well for the Version control and collaborative practices,Well explained topic and a lot of help from the people managing the course.,NA
Day 1,could be improved for the Version control and collaborative practices,I'm happy with the knowledge I got today.,NA
Day 1,worked well for the Management of R projects,"Clear and easy going, interactive.",NA
Day 1,could be improved for the Management of R projects,Could maybe spend less time on this and more time on the afternoon with version control.,NA
Day 1,worked well for the Version control and collaborative practices,"Clear and easy going, never left anyone behind - got help fast if you got stuck.",NA
Day 1,could be improved for the Version control and collaborative practices,"While I think it was easy to follow and not to fast, the morning was an easier topic so maybe spend more time on the version control and slightly less on the management of R projects session.",NA
Day 1,worked well for the Management of R projects,"Welcoming athmosphere, different ways of learning (listening, teaching, discussing, doing). Over expectations with breakfast and coffee!",NA
Day 1,could be improved for the Management of R projects,Some things (for example the language used) could be explained more.,NA
Day 1,worked well for the Version control and collaborative practices,"I really like that we did things step by step, and that it was time for getting help if needed. Over expectations with breakfast and coffee!",NA
Day 1,could be improved for the Version control and collaborative practices,"Sometimes it is a little bit difficult to really understand what you are doing in the practical tasks. I felt I was just doing what I was told, especially in the end of the session. I also think an earlier break would have been helpful to avoid getting too tired.",NA
Day 1,worked well for the Management of R projects,Pace of the course was good. It didnt feel rushed or crammed.,NA
Day 1,could be improved for the Management of R projects,I dont have a specific value add suggestion here. Maybe regular breaks would be nice. Just trying to be critical here as I cannot think of anything else at the moment.,NA
Day 1,worked well for the Version control and collaborative practices,"Code along is a good idea. It was good to read on our own, get time to reflect and then code.",NA
Day 1,worked well for the Management of R projects,"Code along, proper introduction to basics",NA
Day 1,could be improved for the Management of R projects,"I believe that less reading, more code along would be better. But I understand that most people won't read ahead and explaining may take too much time.",NA
Day 1,worked well for the Version control and collaborative practices,Comprehensive introduction to basics.,NA
Day 1,could be improved for the Version control and collaborative practices,"Too much time dedicated to reading. In the provided materials there's no indication, which exercises we should or should't do, so naturally most people finished with reading followed with exercises.",NA
