session_name,question,response
Day 3,could be improved for the group project assignment,"During the work I was missing clearer instructions on what we were going to do with the data (what results to show in the report), it felt like we spent quite some time trying to understand the data and what variables we could use. But now afterwards I think it was ok, after all the important thing was not to present excellent scientific data but to be able to get something out in a report using the coding we learnt. So maybe the instructions don't need to be clearer, but stressing that whatever you plot or show in the report figures and tables is not important (the exercise is how you get there) might be helpful?"
Day 3,could be improved for the group project assignment,Fine as it is.
Day 3,could be improved for the group project assignment,"Hmm i dont know. it worked well, i think. cannot think of any."
Day 3,could be improved for the group project assignment,I am not sure.
Day 3,could be improved for the group project assignment,I think is great the way is was realized
Day 3,could be improved for the group project assignment,I was happy with it. It was challenging which I think was good.
Day 3,could be improved for the group project assignment,I was happy with the group project.
Day 3,could be improved for the group project assignment,"It was a bit difficult to transfer the raw data and clean. If we did not have a good helper in our team, I dont know how we would manage it. Also I wish that we could make some examples of transfering a very simle excel file to R."
Day 3,could be improved for the group project assignment,"It was hard to set the barrier of how hard to make it for ourselves, but I guess that's individual and nothing you can do anything about."
Day 3,could be improved for the group project assignment,It would be great to have small challanges on what to visualize?
Day 3,could be improved for the group project assignment,It would have been nice with an introduction to the task from the teachers.
Day 3,could be improved for the group project assignment,Maybe assigning bthe type of data by the lecturers beforehand so not all the group have the same dataset would make it more fun
Day 3,could be improved for the group project assignment,Maybe increase the need to interact with the other member of the team
Day 3,could be improved for the group project assignment,Maybe set an expectation of how much should be done per person/as a group. We understand one table and at least one figure per person
Day 3,could be improved for the group project assignment,More time or maybe coordinate the different projects and assign them to the group. More time to look through each group's files so the whole class can see the different types of plots that are possible/get more ideas for how to plot data
Day 3,could be improved for the group project assignment,"More time would be nice. I would have enjoyed doing some more sophisticated plots, however I suspect however much time you give people will find a way to fill it.Maybe some other data sets that draw people in so its not all squirrels and turtles?"
Day 3,could be improved for the group project assignment,No comments
Day 3,could be improved for the group project assignment,Nothing.
Day 3,could be improved for the group project assignment,Perhaps a bit more detailed which figures we should do. On the other hand the freedom was also nice
Day 3,could be improved for the group project assignment,"Probably more time to perform the groups assignment, and topic distribution so that it was something more than turtles and squirrels haha"
Day 3,could be improved for the group project assignment,"Really short on time. Data set was ""broken"" and had to be fixed and it took a lot of time"
Day 3,could be improved for the group project assignment,That it is clear to everyone that they have to finish within the time....but I think it was though..
Day 3,could be improved for the group project assignment,"The instructions for how to get started were a bit confusing, which caused delays in getting started. This issue compounded on the fact that the amount of time we had was very short."
Day 3,could be improved for the group project assignment,"Unfortunately, we've chosen a highly categoric dataset and were struggling a little bit with that (squirrels), but that's on us. Also, it wasn't easy for me to work in this way because it's hard to trust other people coding skills and wait for them to provide their parts. But that's something I discovered today ; )"
Day 3,could be improved for the group project assignment,"We could maybe have two sessions of group assignment, one on the second day and the continuation on the third day."
Day 3,could be improved for the group project assignment,a bit higher tempo
Day 3,could be improved for the group project assignment,all good!
Day 3,could be improved for the group project assignment,maybe let everyone have their name on final report
Day 3,could be improved for the group project assignment,maybe more time
Day 3,could be improved for the group project assignment,nothing to mention here
Day 3,could be improved for the lecture presentations,*
Day 3,could be improved for the lecture presentations,Clearer breaks and scheduling
Day 3,could be improved for the lecture presentations,Display of code can be larger
Day 3,could be improved for the lecture presentations,Do not have a suggestion.
Day 3,could be improved for the lecture presentations,Don't know
Day 3,could be improved for the lecture presentations,Don't know.
Day 3,could be improved for the lecture presentations,Everything seemed okay.
Day 3,could be improved for the lecture presentations,Everything was good.
Day 3,could be improved for the lecture presentations,I do't know
Day 3,could be improved for the lecture presentations,I have no suggestion. I want to keep them forever :)
Day 3,could be improved for the lecture presentations,I think it was great
Day 3,could be improved for the lecture presentations,I think it was ok
Day 3,could be improved for the lecture presentations,I think the lectures were very good having the website as a support.
Day 3,could be improved for the lecture presentations,I was happy with the material.
Day 3,could be improved for the lecture presentations,"I was happy with them, the font was sometimes a bit small but that's not really an issue."
Day 3,could be improved for the lecture presentations,"It might have been nice to have some more theory-based presentations. It seemed like certain concepts (YAML, HTML, README, etc.) were introduced to students before real explanations of these things were provided."
Day 3,could be improved for the lecture presentations,It went ver fast towards the end of the data visualisation part.
Day 3,could be improved for the lecture presentations,Less reading portions would be great
Day 3,could be improved for the lecture presentations,Maybe a bit less reading
Day 3,could be improved for the lecture presentations,"Maybe some basic concepts could be included in the slides.  For example, the basic structure of ggplot can be stated in the slides, etc."
Day 3,could be improved for the lecture presentations,Not sure. I really liked them
Day 3,could be improved for the lecture presentations,Nothing.
Day 3,could be improved for the lecture presentations,Really small to read
Day 3,could be improved for the lecture presentations,They were solid
Day 3,could be improved for the lecture presentations,a bit higher tempo
Day 3,could be improved for the lecture presentations,add information on how to delete files from GitHub
Day 3,could be improved for the lecture presentations,all good!
Day 3,could be improved for the lecture presentations,everything was fine!
Day 3,could be improved for the lecture presentations,it was good
Day 3,could be improved for the lecture presentations,more code-along seesions
Day 3,could be improved for the lecture presentations,nothing to add
Day 3,could be improved for the lecture presentations,"perhaps adjusted speed at some time. some lectures felt slower and some felt faster, but overall it was fun"
Day 3,could be improved for the lecture presentations,really liked it
Day 3,worked well for the Data visualization,All good!
Day 3,worked well for the Data visualization,Could see a lot of different graphs in a short amount of time
Day 3,worked well for the Data visualization,Everything was perfect! Really liked on how many graphical stuff we can do by coding.
Day 3,worked well for the Data visualization,Everything worked fine. Good and pedagogical lecture
Day 3,worked well for the Data visualization,"Good instructions, easy to follow along."
Day 3,worked well for the Data visualization,"Good pace during the ""follow the instructor coding"""
Day 3,worked well for the Data visualization,I didnt know that ggplot is easy. i tried to read the documentation before but havent managed to make it worked.
Day 3,worked well for the Data visualization,I really liked all the tools provided and the pace at which it was teach.I find all of the exercises very helpful.
Day 3,worked well for the Data visualization,I really liked that we were able to test different charts step by step.
Day 3,worked well for the Data visualization,I think it was a very useful session where we've learned some fundamental skills.
Day 3,worked well for the Data visualization,I think the session gave a lot of relevant information.
Day 3,worked well for the Data visualization,I was able to produce all the ggplots
Day 3,worked well for the Data visualization,Increaseing level of complexity to graphs and code along
Day 3,worked well for the Data visualization,"Interesting, well structured and -paced."
Day 3,worked well for the Data visualization,"It is great with practical ""hands on"" sessions."
Day 3,worked well for the Data visualization,It was easy to follow instructions and writing the code worked well.
Day 3,worked well for the Data visualization,It was good to code along and try to do many different types of plots.
Day 3,worked well for the Data visualization,It was good to have some more hands-on typing and less reading
Day 3,worked well for the Data visualization,"It was great, very clear and easy to follow."
Day 3,worked well for the Data visualization,"It was so inspiring and charming. I cant stop imaging what I will be able to with visualization  tools. You made this session maybe even a bit more easer , thanks for that."
Day 3,worked well for the Data visualization,It was super fun! There was a good pace and it was really nice with a lot of exercises.
Day 3,worked well for the Data visualization,It was very smooth and easy to follow along
Day 3,worked well for the Data visualization,"Like the previous days I enjoyed the code along set up, to actually type in the code yourself is really helpful in learning."
Day 3,worked well for the Data visualization,Material was very clear and ggplot2 very useful for creating figures.
Day 3,worked well for the Data visualization,Not applicable
Day 3,worked well for the Data visualization,Really easy to follow all the data wrangling workflow!
Day 3,worked well for the Data visualization,The code and follow and examples.
Day 3,worked well for the Data visualization,"The code-along session was really well organized, and aspects of it built logically on top of one another."
Day 3,worked well for the Data visualization,"The follow along coding really comes into its own here, was very interactive and could really see what kind of things were possible. Fired the imagination well."
Day 3,worked well for the Data visualization,"The lecture, code-along and the exercises."
Day 3,worked well for the Data visualization,The session was step by step and well explained. It was overall very easy to understand.
Day 3,worked well for the Data visualization,Very interesting and important topic! Everything was good.
Day 3,worked well for the Data visualization,good examples and exercises
Day 3,worked well for the Data visualization,good instructions
Day 3,worked well for the Data visualization,making plots step by step
Day 3,worked well for the Data visualization,no complains
Day 3,worked well for the Data visualization,the information about the layers. I used ggplot before but without understanding most of the time what corresponds to what.
Day 3,worked well for the group project assignment,Being able to work individually but also working together at the start for data cleanup.
Day 3,worked well for the group project assignment,"Clear tasks and procedure, and good enough for collaboration"
Day 3,worked well for the group project assignment,Everyone managed to get reproducible projects! Great job!
Day 3,worked well for the group project assignment,Everything
Day 3,worked well for the group project assignment,Everything.
Day 3,worked well for the group project assignment,"Fun, interesting to collaborate in real time."
Day 3,worked well for the group project assignment,I really likes my teammates and I think the project really help to practice everything that we learned during the course. I felt datasets were very well chosen because they were similar to the ones seen in class.
Day 3,worked well for the group project assignment,"I think it worked really well because our group had one of the volunteers to help, so she had more experience and helped a lot with different doubts"
Day 3,worked well for the group project assignment,I think we were well prepared for the task and it was fun to have a lot of freedom.
Day 3,worked well for the group project assignment,It was a nice way to learn how to actually apply the concepts we'd learned in a more realistic setting.
Day 3,worked well for the group project assignment,It was fun to have so much freedom in the project.
Day 3,worked well for the group project assignment,It was interesting to work on a different data set and try to figure out what to plot and how to present the data.
Day 3,worked well for the group project assignment,It was nice to practice what we have learning and also nice to do it in a group to be able to help each other.
Day 3,worked well for the group project assignment,It was useful to get to use the tool in a more concret example.
Day 3,worked well for the group project assignment,It worked well to start working together and then divide tasks so we could be more productive. And then merge everything together again. It was very good to have the change to practice how to use Github with the members of the team as collaborators.
Day 3,worked well for the group project assignment,It's good to practice newly acquired skills as soon as possible.
Day 3,worked well for the group project assignment,Nice to work together in a group and get some hands-on practice but also be able to learn from each other as well as help others.
Day 3,worked well for the group project assignment,"Really good with an exercise without too much guidance, a good opportunity to start practising on your own. A lot of room to try out things we learnt in the sessions and also new things. A huge benefit of working in a group was that you could get help from other group members, which made it easier for me as a total beginner to get going."
Day 3,worked well for the group project assignment,Teamwork
Day 3,worked well for the group project assignment,The difficulty level and the amount of work per time.
Day 3,worked well for the group project assignment,"The final report was able to run, with a bit of help from my group members I was able to produce the necessary figures"
Day 3,worked well for the group project assignment,The group project was very good for going through things that we learned during the course.
Day 3,worked well for the group project assignment,"The instructions were really clear, easy to find a dataset"
Day 3,worked well for the group project assignment,The workload was good
Day 3,worked well for the group project assignment,Very well!
Day 3,worked well for the group project assignment,Was great to put the coding into action. Thoroughly enjoyed this step.
Day 3,worked well for the group project assignment,We were ready with the material provided to perform this project
Day 3,worked well for the group project assignment,Well-described tasks and good communication in the group.
Day 3,worked well for the group project assignment,Worked fine!
Day 3,worked well for the group project assignment,all good!
Day 3,worked well for the group project assignment,good collaboration
Day 3,worked well for the group project assignment,good to combined everything I have learnt in the past three days
Day 3,worked well for the group project assignment,i can be reminded of how to do things. it is always difficult to remember all the codes we learned in the past few days
Day 3,worked well for the group project assignment,it was very easy to follow and I felt confident when I saw some outputs with my own code. It was structured wisely.
Day 3,worked well for the group project assignment,no complains
Day 3,worked well for the group project assignment,the task was adequately challenging and fun to do.
Day 3,worked well for the lecture presentations,A new look at the use of coding and reproducibility.
Day 3,worked well for the lecture presentations,Amount of information and length.
Day 3,worked well for the lecture presentations,Clear and informative.
Day 3,worked well for the lecture presentations,Clear slides and interesting introduction on the first day
Day 3,worked well for the lecture presentations,Don't know
Day 3,worked well for the lecture presentations,Engaged teachers!
Day 3,worked well for the lecture presentations,Everything
Day 3,worked well for the lecture presentations,Everything seemed okay.
Day 3,worked well for the lecture presentations,Everything was very clear.
Day 3,worked well for the lecture presentations,Everything.
Day 3,worked well for the lecture presentations,"Good speakers, good amount of breaks and most of it was very visual"
Day 3,worked well for the lecture presentations,Great idea with the stickers!
Day 3,worked well for the lecture presentations,Having  to read the lectures individually and then just talk about key points
Day 3,worked well for the lecture presentations,"I liked the combination between reading, exercises and code-along sessions"
Day 3,worked well for the lecture presentations,I think they were really straight-forward and helpful.
Day 3,worked well for the lecture presentations,I was very understandable. I liked the energy/ excitement of Luke
Day 3,worked well for the lecture presentations,It was a good idea to make us read concept and then to emphasise in the lecture presentations.
Day 3,worked well for the lecture presentations,It was all good!
Day 3,worked well for the lecture presentations,It was very interesting
Day 3,worked well for the lecture presentations,Nice pacing with mixed reading and exercises
Day 3,worked well for the lecture presentations,"Not too much text on the slides, easy to follow"
Day 3,worked well for the lecture presentations,"Pace, level of explanations, the continuous help from helpers..."
Day 3,worked well for the lecture presentations,Perfectly fine.
Day 3,worked well for the lecture presentations,The material was good and clearly explained.
Day 3,worked well for the lecture presentations,"The professors were very engaged, and discussed the topics on the slides at length."
Day 3,worked well for the lecture presentations,The reading tasks and practical components.
Day 3,worked well for the lecture presentations,The speakers were engaging!!
Day 3,worked well for the lecture presentations,"They were clear and fun, thank you"
Day 3,worked well for the lecture presentations,They were very clear and the message was also clear.
Day 3,worked well for the lecture presentations,Your strength of feeling came across very clearly
Day 3,worked well for the lecture presentations,all good!
Day 3,worked well for the lecture presentations,easy to follow and clear
Day 3,worked well for the lecture presentations,no complains
Day 3,worked well for the lecture presentations,nothing to add
Day 3,worked well for the lecture presentations,"structured, clear"
Day 3,worked well for the lecture presentations,the information was clear and detailed.
