question,response
Why do you want to attend this workshop?,"I participanted in the introduction to R course this year, and it was really great. I would like to be able to gain more skills, so I can ensure that my data is reproducible, and also some skills for datamangement."
Why do you want to attend this workshop?,I've done two epidemiological studies and learned (the hard way!) how important it is to have some kind of system for your syntax - this also makes it much easier to do additional analyses when the paper is reviewed. Now I've finished my clinical study and would like to use a more systematic approach and maybe smarter ways to clean data.
Why do you want to attend this workshop?,To gain skills within data management and reproducibility
Why do you want to attend this workshop?,"To hopefully get the experienced insight into the many possibilities and possibly also some limitations of using R Studio especially in relation to data cleaning, data analysis, data interpretation, data visualisation(?) of large datasets with multiple variables of different categories."
Why do you want to attend this workshop?,Improve ability to work with R
Why do you want to attend this workshop?,Improve my data processing skills in R
Why do you want to attend this workshop?,"I am a PhD student in nephrology and want to strengthen my skills in reproducible research using R. I am currently about six months into my PhD and am approaching the stage where I will begin working with my data. I have no prior experience with statistical software beyond the introductory R course (in february 2026), which I found very useful and which provided me with a basic understanding of R. With this workshop, I hope to build a more solid and practical skill set so that I can start using R independently for data management, analysis, and generating results for my project."
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to learn more about coding in R so I can use it in my own projects. Additionally, to focus on reproducibility in my research."
What do you expect to learn and what would you like to be able to do with what you've learned?,Improvement of R skills and better familiarization of coding
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn something about functions and how to mange my project(s) and get better at using Git/version control
What do you expect to learn and what would you like to be able to do with what you've learned?,"I hope to strengthen my practical skills in data cleaning, processing, and workflow organisation in R. I would like to apply this to my PhD data so that my preprocessing steps become more efficient, transparent, and reproducible."
What do you expect to learn and what would you like to be able to do with what you've learned?,"Adopting and better incorporating functions and functionals, as well as using Git and GitHub."
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn R on a deeper level to be more comfortable coding and systems to create R projects as well as reproducible work.
What do you expect to learn and what would you like to be able to do with what you've learned?,Better understanding of functions in R and connection to Github
What do you expect to learn and what would you like to be able to do with what you've learned?,Be better at R
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to learn more about how to use R for data analysis, as well as learn more about how to make reproduceable research."
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to become even more familiar with Git, R and how you generate easy to read and reproducible R projects. Furthermore, become more familiar with data processing and cleaning."
What do you expect to learn and what would you like to be able to do with what you've learned?,"I hope to strengthen my practical everyday R skills, particularly in navigating the R environment, managing paths, and using functions more confidently. I would like to become more independent in handling data and structuring my workflows."
What do you expect to learn and what would you like to be able to do with what you've learned?,I hope to be better prepared to begin cleaning my data set
What do you expect to learn and what would you like to be able to do with what you've learned?,Learn more about using R and how to do it in a reproductive way. I would like to be able to analyse my own dataset for publication
What do you expect to learn and what would you like to be able to do with what you've learned?,To apply the same workflow for each project. To get more familiar with good coding practices and to get to know more packages and functions.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to learn good practice and good habits when working in R. I hope to just get more hands-on in handling data in a good way, building on the foundation from the introductory course to advance my R knowledge. Judging from the syllabus, I expect to learn to use and design more advanced functions, processing strings, wrangling data in different formats, and joining data together."
What do you expect to learn and what would you like to be able to do with what you've learned?,I aim to expand my R skills and gain the ability to analyze and interpret data more effectively.
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn how to setup my code in a way that I can easily identify the purpose and any mistakes. I want my code to be clear to others.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I am currently doing some statistical work on my data, and I would love to be better at R and to use the Quarto"
What do you expect to learn and what would you like to be able to do with what you've learned?,I hope to learn a good folder structure and tips and tricks to make the code/project very nice
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn a good workflow to create reproducible programmes. I will use this in my phd that I'm half way through.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I hope to get better at importing and pre-processing data and handeling data within R. Furthermore to be better at writing codes and learn the ""language"" used for R."
What do you expect to learn and what would you like to be able to do with what you've learned?,"Be more secure and competent in navigating R and learning how to make simple data analyses, tables and graphs in the programme."
What do you expect to learn and what would you like to be able to do with what you've learned?,I want to be good at creating reproducible research as I am working together with a large team of others
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to become more comfotable using R. And to get skills that make me able to clean up data.
What do you expect to learn and what would you like to be able to do with what you've learned?,Systematic approach to data analysis and data cleaning methods
What do you expect to learn and what would you like to be able to do with what you've learned?,I hope to learn good coding practices and useful tips and tricks that can make my coding more efficient and professional.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I hope to become so acquainted with using R through R studio incl. the differen packages so that it is easy to tap in and out of the work flow, and basic programming flows naturally. I wish to know the best prompts for different situations while working with a large dataset with many many variables."
What do you expect to learn and what would you like to be able to do with what you've learned?,Progress towards conducting reproducible studies with open data sets such as the GEO repository
What do you expect to learn and what would you like to be able to do with what you've learned?,build on the previous course
What do you expect to learn and what would you like to be able to do with what you've learned?,Please see the answers above.
"In your opinion, what worked well?","Online material always available, so I was able to refresh some stuff from the introductory courseCode ready to paste into R StudioGood explanations"
"In your opinion, what worked well?",So far everything
"In your opinion, what worked well?",Easy to go through
"In your opinion, what worked well?","Easy to follow, good flow and descriptions. Very user-friendly. Nice that the code was easy to copy/paste."
"In your opinion, what worked well?",Clear and easy instructions. Well written. Good introduction and overview of the concepts.
"In your opinion, what worked well?","Good walk through with illustrations, code and explanation"
"In your opinion, what worked well?",The detailed instructions
"In your opinion, what worked well?",The pre-course setup is great once again
"In your opinion, what worked well?",The pre-workshop task material is very well done. Easy to follow with the step-by-step and common issues are well explained.
"In your opinion, what worked well?","Just like in the introductory course I think the very well that everything is decribed into detail, eventhough it is much text, i like that you can also do back and understand if you maybe went a bit too fast."
"In your opinion, what worked well?","The website is very comprehensive and requires navigating across multiple sections. However, following the introductory R course, I now find it much easier to use, as I have a better understanding of its structure."
"In your opinion, what worked well?","I like how the website works, it is easy to maneuver."
"In your opinion, what worked well?",The website and the structure within the website is very intuitive
"In your opinion, what worked well?","It is a very nice way to make sure that we can concentrate on the important things at the workshop and that we all start ""on the same level"""
"In your opinion, what worked well?",Neat and easy-to-follow instructions. Webpage is great!
"In your opinion, what worked well?",Its very easy to follow and well explained
"In your opinion, what worked well?",the guide was clear and informative. it was easy to follow and was completed quickly.
"In your opinion, what worked well?",The first steps worked really well. I had no problems
"In your opinion, what worked well?",very nice guide to follow
"In your opinion, what worked well?","Overall structure of the website is super nice, and is easy to give an overview. Nice that expectations (also to learning) are explicit"
"In your opinion, what worked well?",Nice to check if everything works before the course. Nice with some refreshing from the introductory course.
"In your opinion, what worked well?",It works well that you describe everything thoroughly. I like that I do the functions and codes in R and Git to test if it is working.
"In your opinion, what worked well?","It all worked well, but I think it is because I did the introduction course also"
"In your opinion, what worked well?","Everything is very well described (taken the subject in mind, it could easily have been very difficult to understand), and the structure of it was really good as well."
"In your opinion, what worked well?",I think the material worked very well! I also read through the intro material (since I havent attented that course); I really liked the many figures/pictures and also that the approx reading time was listed in the start of each section. It is a good idea to set the date for completing the pre-workshop tasks to be a couple of days before the workshop so you have the time to fix any technical issues before staring the course
"In your opinion, what worked well?",The layout
"In your opinion, what worked well?","I really liked the hands on part of it - doing something, and the instructions were clear and easi to follow. Praise for the 'check ups', so I could see if my set up was as it should be or not."
"In your opinion, what worked well?",Very good and easy guide
"In your opinion, what worked well?","detailed, clear, descriptive"
"In your opinion, what worked well?","I appreciated the “recipe-style” structure of the webpage, with clear step-by-step guidance. After installing the LearningR3 packages, I was initially unsure due to the long installation time and the large amount of console output, which took around 5–7 minutes. I also noticed that my output sometimes differed slightly from the examples, particularly in the order of the output. This made me uncertain whether everything had run correctly, and I sought confirmation from AI (ChatGPT) a couple of times. In the end, everything worked as expected, so I realise that I maybe just should have trusted the process."
"In your opinion, what could be improved?","Nothing, no comments."
"In your opinion, what could be improved?",So far nothing
"In your opinion, what could be improved?",Maybe a better walkthrough of how to update R
"In your opinion, what could be improved?",Can't think of anything.
"In your opinion, what could be improved?",A minor suggestion for improvement would be to more clearly separate the expected new-project setup for any project and then what we will/how we will do it in this course. But it is really a minor thing.
"In your opinion, what could be improved?",Nothing/maybe do it clear that you should not unzip the tar file
"In your opinion, what could be improved?",Maybe a little more clear overview of the codes used
"In your opinion, what could be improved?",Maybe use pictures to show how it should look? only potential change
"In your opinion, what could be improved?","I am not sure, i think it was good."
"In your opinion, what could be improved?",I have no comment
"In your opinion, what could be improved?","It can be tricky to keep the overview and remember in what section and found specific codes, but I guess it is hard to improve."
"In your opinion, what could be improved?",It would be nice to have the estimate time usage for the pre-course task in the first e-mail.
"In your opinion, what could be improved?",it is a bit confusing jumping between reading parts in the Intro websid and the intermediate webside
"In your opinion, what could be improved?",Don't know
"In your opinion, what could be improved?",Nothing comes to my mind.
"In your opinion, what could be improved?",Maybe a very little summary from the introductory course
"In your opinion, what could be improved?",no suggestions
"In your opinion, what could be improved?","I am having problems loading the data, I dont know if it is just my R program"
"In your opinion, what could be improved?",I feel like it was a little repetitive regarding keep referencing back to the overview in the begining
"In your opinion, what could be improved?",I couldn't create the folder on my desktop outside of onedrive. So I did the best I could working with that.
"In your opinion, what could be improved?","I find the parts about Git and GitHub difficult, especially if you don’t work with them on a daily basis. Additionally, some sections of the text (Github and download the data) are written in a way that can be hard to understand if you don’t have programming experience or a strong understanding of how computers work."
"In your opinion, what could be improved?",Sometimes I found it difficult to complete a task because I lacked knowledge in the programmes R and GitHub . E.g. when downloading the data file I could have used more guidance in that I had to drop it in the folder not in R but at the desktop - this took me some time to figure out.
"In your opinion, what could be improved?","I could not make the untar work:> untar(+     here(""data-raw/nurses-stress.tar""),+     exdir = here(""data-raw/nurses-stress/"")+ )It just kept ""thinking"" in the enviroment So maybe a work around if possible for that part."
"In your opinion, what could be improved?",I think it works really good as it is!
"In your opinion, what could be improved?","Some parts were very technical/ overexplained. For example I struggled for some time understanding this part: ""You can untar the tar files by using the untar() function by writing it in data-raw/nurses-stress.R. The first argument of untar() is the tar file you want to untar and the other important argument is called exdir that tells untar() which folder you want to extract the files to."""
"In your opinion, what could be improved?","Maybe text heavy. I skipped some of it as I learn better by doing, then reading the text if it does not work or after so I understand what the prompt just did. But that is simply my preference for workflow."
"In your opinion, what could be improved?","I think the use of r3 package etc should be reconsidered. Based on the wording you use, it seems that installation issues. Or could a longer console input with individual packages be supplied as a third option and an alternative pre-survey test."
"In your opinion, what could be improved?",pre-course actual exercise perhaps (potentially)
"In your opinion, what could be improved?","Not much. I really like the structure of these R courses and the availability of the online material. Overall, it works very well. Perhaps short explanatory videos could be a useful addition? As a more and very specific point, it might be helpful to mention that installing the packages can take several minutes and that a large amount of console output is expected, as this was initially a bit confusing :-)"
Please describe the problems you've had.,"I ""unzip"" the nurses-stress tar file which resultet in a different setup."
Please describe the problems you've had.,"Downloading and uploading the data, and also the last check up didn't bring anything up"
Please describe the problems you've had.,"> untar(+   here(""data-raw/nurses-stress.tar""),+   exdir = here(""data-raw/nurses-stress/"") Fejl i here(""data-raw/nurses-stress.tar"") :   could not find function ""here"""
Please describe the problems you've had.,"Installing git, changing R to the newest version, creating on the desktop outside onedrive. I solved it all except the folder on the desktop"
Please describe the problems you've had.,"In the beginning I cound not make the part where I had to type in my full name and e-mail in (for git), in stead I kept getting a ""fejl""-message. Then I closed down R a couple of times, and then it somehow suddenly worked. I also had issues with untar, as described earlier."
Please describe the problems you've had.,"I could not get Git working in RStudio before restarting the program, but that solved the problem."
Please describe the problems you've had.,r3 will not install
