question,response
What do you expect to learn and what would you like to be able to do with what you've learned?,The above - how to use GitHub and version control of your projects
What do you expect to learn and what would you like to be able to do with what you've learned?,Use GitHub in min daily work
What do you expect to learn and what would you like to be able to do with what you've learned?,Work with files and version control on own projects and maybe when collaborating with others.
What do you expect to learn and what would you like to be able to do with what you've learned?,basic github
What do you expect to learn and what would you like to be able to do with what you've learned?,familiar myself with basic rules of github for project management; i also hope to make my personal website using github
What do you expect to learn and what would you like to be able to do with what you've learned?,github structure and using github on a weekly basis
What do you expect to learn and what would you like to be able to do with what you've learned?,the basics  of github
"In your opinion, what worked well?","Brief introduction to what Git and GitHub is, and what it is usefull for."
"In your opinion, what worked well?",Detailed description of what will be covered
"In your opinion, what worked well?",Detailed info
"In your opinion, what worked well?",Easy to navigate with arrows. Easy to understand the text - Well-written.
"In your opinion, what worked well?",Everything is very good and clearly explained. The overview and pre-workshop tasks parts are well described and I could discover what about the workshop will be and a bit of what GitHub is too.
"In your opinion, what worked well?",Focus on what I can use it for and why Git can help
"In your opinion, what worked well?",Gav mig et klart billede af hvad jeg kan forvente af workshoppen.
"In your opinion, what worked well?",Good explanations.
"In your opinion, what worked well?",Good introduction
"In your opinion, what worked well?",Good overview of workshop and introduction to Git and GitHub and advantages of working on GitHub.
"In your opinion, what worked well?",I liked the flow of the material and I got a clear impression of what the lecture is about.
"In your opinion, what worked well?",I think that the explanation of the basic concepts is good
"In your opinion, what worked well?",I think the general idea of an introduction and pre-workshop tasks is great
"In your opinion, what worked well?",It is very detailed and gives comfort in joining the workshop
"In your opinion, what worked well?",Like te examples to put things into context.
"In your opinion, what worked well?",Nothing to install except creating a GitHub account
"In your opinion, what worked well?",Oprettelse af konto og fjernelse af notifikationer samt beskrivelse af Git og GitHub
"In your opinion, what worked well?","The combination of short explanations followed by immediate application helped reinforce each concept. I also appreciated the focus on real research workflows and the supportive environment created by the instructors, it made it easy to ask questions and stay engaged."
"In your opinion, what worked well?",everything was clear
"In your opinion, what worked well?",everything work well
"In your opinion, what worked well?","gives good information, easy to understand"
"In your opinion, what worked well?","it covers the basic knowledge of git and github, the struture is very clear"
"In your opinion, what worked well?","the descriptions, that it does not take more than 20 minutes to read"
"In your opinion, what worked well?","the section ""Is this for you"" and ""Learning design"" was very nice :-)"
"In your opinion, what could be improved?","Brief introduction to what Git and GitHub is, and what it is usefull for."
"In your opinion, what could be improved?",Code of condukt tekst er for omfattende selvom der er lidt humor inkluderet. Syntes måske ikke den del passer til målgruppen selvom vi alle selvfølgelig kan komme til at skrive/sige noget som kan gøre andre kede af det selvom det ikke var hensigten
"In your opinion, what could be improved?",I cannot think of anything :)
"In your opinion, what could be improved?",I think that you have to read too much text before the workshop
"In your opinion, what could be improved?","In generel, I think the material could be condenst - to many words - but I know it is a matter of taste:-)"
"In your opinion, what could be improved?",Ingen forslag
"In your opinion, what could be improved?",Is the code of conduct necessary? Or have you actually had bad experiences with people acting out of order?
"In your opinion, what could be improved?",It could be even more clear what is 'must read'
"In your opinion, what could be improved?","It would be helpful to include a bit more context at the beginning about how Git and GitHub fit into the broader research workflow, especially for people coming from non-programming backgrounds."
"In your opinion, what could be improved?",Maybe longer deadline for completing the tasks and/or information about the deadline and time needed at the very beginning of the e-mail sent out.
"In your opinion, what could be improved?",Nothing particular
"In your opinion, what could be improved?",Personally I think everything is well explained and no more text is necessary. Maybe it could be nice to add some pictures or figures to make the reading lighter.
"In your opinion, what could be improved?","Pictures, Diagrams perhaps"
"In your opinion, what could be improved?",The amount of time of the preparation could have been written in the invitation e-mail.
"In your opinion, what could be improved?","The code of conduct: It might not be necessary to be explicit about expectations, such as mutual respect, which are already assumed in a professional environment."
"In your opinion, what could be improved?",The link to create a GitHub account
"In your opinion, what could be improved?","There is a lot of (relevant) reading, most of it is covered in parts in other courses such as reproducible research in R"
"In your opinion, what could be improved?",maybe shorten the text
"In your opinion, what could be improved?",maybe some graphics
"In your opinion, what could be improved?",perhaps everyone can work on a project (hypothetical)  together to get the sense of how to use gitthub in real research?
Please describe the problems you've had.,I encountered a dead link when I wanted to create a Github account
Please describe the problems you've had.,The link for creation of the GitHub account is broken.
