Questions,Responses,Count
What programs have you previously used for data analysis?,"Stata, GraphPad Prism",1
What programs have you previously used for data analysis?,"Stata, SAS",1
What programs have you previously used for data analysis?,"Stata, SAS (years ago), SPSS (very long time ago)",1
What programs have you previously used for data analysis?,"STATA, SAS, EXCEL, GRAPHPAD",1
What programs have you previously used for data analysis?,"Stata, SigmaPlot, Prism",1
What programs have you previously used for data analysis?,"Stata, SPSS, MLwin",1
What is your formal position?,Analyst,1
What is your formal position?,Assistant professor,1
What is your formal position?,Bibliometric analyst,1
What is your formal position?,Master student,1
What is your formal position?,Master student (doing research project),1
What is your formal position?,Master student (last semester),1
What is your formal position?,Master's student,1
What is your formal position?,PhD student,63
What is your formal position?,Post doc,1
What is your formal position?,Postdoc,48
What is your formal position?,Project manager,1
What is your formal position?,Research assistant,2
What is your formal position?,Research assistnat,1
What is your formal position?,Research year student,1
What is your formal position?,Researcher,7
What is your formal position?,Senior researcher,1
What is your formal position?,Visiting researcher,1
How often do you currently use: dplyr,Few times a month,1
How often do you currently use: dplyr,Few times a week,1
How often do you currently use: dplyr,Haven't used R,4
How often do you currently use: dplyr,Never,14
How often do you currently use: dplyr,Once a month,7
How often do you currently use: ggplot2,Few times a month,2
How often do you currently use: ggplot2,Haven't used R,4
How often do you currently use: ggplot2,Never,14
How often do you currently use: ggplot2,Once a month,7
How often do you currently use: GitHub/GitLab and Git,Haven't used R,3
How often do you currently use: GitHub/GitLab and Git,Never,20
How often do you currently use: GitHub/GitLab and Git,Once a month,4
How often do you currently use: pipe (%>%),Few times a month,1
How often do you currently use: pipe (%>%),Few times a week,1
How often do you currently use: pipe (%>%),Haven't used R,4
How often do you currently use: pipe (%>%),Never,17
How often do you currently use: pipe (%>%),Once a month,3
How often do you currently use: pipe (%>%),Once a week,1
How often do you currently use: R Markdown,Few times a month,3
How often do you currently use: R Markdown,Few times a week,1
How often do you currently use: R Markdown,Haven't used R,4
How often do you currently use: R Markdown,Never,18
How often do you currently use: R Markdown,Once a month,1
How often do you currently use: tidyr,Few times a month,2
How often do you currently use: tidyr,Few times a week,1
How often do you currently use: tidyr,Haven't used R,4
How often do you currently use: tidyr,Never,16
How often do you currently use: tidyr,Once a month,4
