Questions,course_version,Responses
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"I expect to learn the skills listed below:- Basic knowledge of R to be able to do basic data analysis- A better understanding of the overall functioning of R, R studio, Git and GitHub - Learn how to work collaboratively on codeI need this knowledge because I will need to analyze data with R in the next few weeks and this is a task that I might have to share with other people so I think this course will be very useful and give me the tools to finalize my learning of R independently."
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I expect to learn tools and patterns in order to write my own reproducible R scripts and how to avoid creating sloppy commands. Understanding the grammar of ggplot2 is a big plus.
What do you expect to learn and what would you like to be able to do with what you've learned?,4,"I expect to learn, how to use R and R-studio. How to upload my data to the program (from excel and RedCap), how to analyse the basic statistic formulas (mean, median, t-test, SD, confidence interval) and how to create some statistic figures useful for publication (plots, graph, charts). And then I expect to learn something new and hopefully very useful in my further research career (both statistic and when writing articles and collaborate with other)"
What do you expect to learn and what would you like to be able to do with what you've learned?,4,I expect to optimize my data analysis workflow.
What do you expect to learn and what would you like to be able to do with what you've learned?,4,I have performed transcriptomics and proteomics analysis during my phd and I think these type of analysis would have benefited from R based analysis. I am taking this course to get started using R in my current and future projects.
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I hope I can better use code do the data preparation and analysis and output the results in a more academic way for publication.
What do you expect to learn and what would you like to be able to do with what you've learned?,4,I hope to learn how to use Github and R in unison for projects making it easier to share code and reuse it
What do you expect to learn and what would you like to be able to do with what you've learned?,4,I want to gain a better understanding of what it means to perform reproducible research and learn how to use R.
What do you expect to learn and what would you like to be able to do with what you've learned?,4,I want to learn basic workflow in R and do datamanagement and vizualation of data. With this knowledge I want to do all my advanced analyzes and graphs for publication in R.
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"I want to learn how to make the most of R tool, so I can implement its statistical power and also create quality figures for future publications."
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I want to learn more about R language and Rstudio to understand how to use them to analyze and present my data.
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I will like to learn a bit more how can I apply statistics and my data and understand why I am using those statistics
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I would like to be able to use R to organise my data better and make my research more reproducible
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"I would like to be smoother when programming and organize my code better. Also, by applying the knowledge in real datasets, i would like to get a perspective on how data can be analyzed."
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I would like to become comfortable in R studio and become familiar with using GitHub and other open sources. To learn how this can be used for collaborative efforts.
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I would like to become more secure with my usage of R and learn about new packages and methods to use and apply to my data.
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I would like to get more comfortable programming and be able to do my data analysis for my project in a more time efficient manner.
What do you expect to learn and what would you like to be able to do with what you've learned?,4,"I would like to improve my data and code literacy, and to conduct a modern and reproducible data analysis"
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I would like to learn how to use R software for my professional work as well as my research. 
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I would like to learn more about how to analyze my data in an effective and reproducible way.
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I would like to learn to have more order with my code and this way reduce variability in the way I do stuff. This way I would be able to reproduce stuff I do later easier.
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"I would like to learn what R can be used for and how to choose the right tools for my analyses, and how to make sure that me or my collegues will be able to use it after some time in a right way (being able to track every step of the analysis). I would also like to improve the speed of my analysis, which currently mainly involves CellProfiles, Excel and GraphPad, possibly by exchanging the latter two (or at least Excel) with R."
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I would like to utilize R to analyze multidimensional data.
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"I'm hoping to learn some basics in modern programming (or fresh up the minor and ancient knowledge I have), and to learn the basics in using R and RStudio. Having learnt that I hope to be able to use these tools to do basic analysis such as sorting and extracting information from the output files I get from the analysis tools already in place in our group. Hopefully my new knowledge will also give me a better understanding of the analysis tools we are using."
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"Improve my overall foundation in R language, particularly utilisation of tidyverse packages and version control with Git. Tidyverse packages including ggplot2 would be especially useful for data visualisation in my own research."
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"Initially, I expect to learn R to use my simple data sets to be presented in scientific papers as visual data (graphs) and to run PCA. Meanwhile, I want to see if like programming for data science or not. If so, I want to drive my personal interest in this area a bit more to make it a piece of my professional life."
What do you expect to learn and what would you like to be able to do with what you've learned?,5,Introduction to R and its usage in research
What do you expect to learn and what would you like to be able to do with what you've learned?,4,Learn how to create an algorithm for clear and systematic data analyses.
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"Learn how to write reproducible code workflows and structures that make mine and others' life easier. Get to know tools/packages that I can use during my PhD to produce results and for data visualization. Learn how to organize code, documents, that facilitate working within a team."
What do you expect to learn and what would you like to be able to do with what you've learned?,4,Learn more about how to organize my work in R and how to apply it on my data
What do you expect to learn and what would you like to be able to do with what you've learned?,5,More effectively use R syntax so I can actually implement the data analysis instructions left by the former lab bioinformatician
What do you expect to learn and what would you like to be able to do with what you've learned?,4,own data analysis
What do you expect to learn and what would you like to be able to do with what you've learned?,4,Sequencing data
What do you expect to learn and what would you like to be able to do with what you've learned?,4,Some R basics on how to handle big data sets and how to visualize them. I would like to some it for especially visualization of the data I work with myself.
What do you expect to learn and what would you like to be able to do with what you've learned?,4,statistical analysis
What do you expect to learn and what would you like to be able to do with what you've learned?,4,to be able to manage my results
What do you expect to learn and what would you like to be able to do with what you've learned?,5,To understand how to use R and to be able to work with my data in it
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"Understanding proper workflow for data analysis, including how to use Git and GitHub"
What do you expect to learn and what would you like to be able to do with what you've learned?,4,useful data
What do you expect to learn and what would you like to be able to do with what you've learned?,5,version control
Please describe the problems you've had.,3,"1) I didn't get the DONE after running the remotes installation. But I was able to do the rest of the preparation, so I think it worked at the end.2) I was asked if I wanted to install a compiliation when running remotes::install_gitlab(rostools/r3, upgrade = TRUE), I pressed yes, and it took forever and didn't look like the video. So I STOPped it and ran it again and this time pressed no, and then it looked fine."
Please describe the problems you've had.,5,"As previously mentioned, I got an error when installing the r3 package:Error:                                                                           ! error in pak subprocessCaused by error: ! Cannot install packages:* r3: Can't find package called r3."
Please describe the problems you've had.,5,"Error while installing the remotes package (provided version of Rtools (35) not complient), the following installations seemed to work though."
Please describe the problems you've had.,4,Error: Must install the following packages to use bs4_book():* bslibExecution haltedlibrary(sass)Error: package ‘sass’ is not installed for 'arch = x64'library(bslib)DLL ‘sass’ not found: maybe not installed for this architecture?
Please describe the problems you've had.,4,Git in the R studio
Please describe the problems you've had.,2,"I am not able to download the newest version of R on my workplace computer. I have contacted the IT department of the Capital Region, where I am working. They will not allow a newer version of R at this moment."
Please describe the problems you've had.,5,"I am not sure if I managed to install quarto properly and I am not sure on how to check that. On the other end, I encountered an error message when trying the command : > r3::install_packages_introduction() and I don't know why.Error:✖ Failed to build Matrix 1.5-3                                        Error:                                                                ! error in pak subprocessCaused by error in `stop_task_build(state, worker)`:! Failed to build source package 'Matrix'"
Please describe the problems you've had.,4,I can easily download packages from CRAN but they are not automatically installed. I need to activate them in the sidebar afterwards. This is not the case in the video. R says that: ‘lib’ is unspecified. How to handle this?
Please describe the problems you've had.,2,"I can only update the Rstudio to 1.2.5001 (the latest available version in software shop), but once I close it and open it again it returns to the previously installed version and r3 commands give an error. I have re-installed it but the problem was not solved, I am contacting work helpdesk."
Please describe the problems you've had.,5,I cannot do the setup of r3 it is not install and then I have tried and says is not compatible with my R studio
Please describe the problems you've had.,2,I could not make the first commands because I did not have Rtools.
Please describe the problems you've had.,2,I didn't get the same sort of response from my commands to install packages etc. so thought that they hadn't installed correctly.
Please describe the problems you've had.,5,"I don't know if this will be a problem or not, but I don't see the Git tab from panel C in RStudio. Although I am not familiar with Git, there was something mentioned during installation and from what I read on different forums, that it could be integrated with Terminal tab near the Console?"
Please describe the problems you've had.,2,I got many error comments while tried to instal the remotes package
Please describe the problems you've had.,5,"I got to errors here pasted:(1)> r3::install_packages_introduction()✔ Updated metadata database: 5.07 MB in 12 files.                               ✔ Updating metadata database ... done                                           Error:                                                                           ! error in pak subprocessCaused by error: ! Cannot install packages:* r3: Can't find package called r3.(2)> quarto::quarto_render(hello.qmd)ERROR: No valid input files passed to renderError in `processx::run(quarto_bin, args, echo = TRUE)`:! System command 'quarto' failed---Exit status: 1stdout & stderr: <printed>---Type .Last.error to see the more details.(But I can knit it by pressing the button Render. It is just through the console that it doesn't work.)"
Please describe the problems you've had.,2,"I had a lot of read text in the R programme when running the codes, but I believe that the packages were succesfully installed at last as it said:package ‘prodigenr’ successfully unpacked and MD5 sums checkedpackage ‘rstudioapi’ successfully unpacked and MD5 sums checkedpackage ‘rversions’ successfully unpacked and MD5 sums checkedpackage ‘tidyverse’ successfully unpacked and MD5 sums checkedpackage ‘usethis’ successfully unpacked and MD5 sums checkedpackage ‘stringr’ successfully unpacked and MD5 sums checkedpackage ‘git2r’ successfully unpacked and MD5 sums checkedpackage ‘NHANES’ successfully unpacked and MD5 sums checkedpackage ‘rmarkdown’ successfully unpacked and MD5 sums checkedpackage ‘knitr’ successfully unpacked and MD5 sums checkedpackage ‘crayon’ successfully unpacked and MD5 sums checkedpackage ‘Rcpp’ successfully unpacked and MD5 sums checkedpackage ‘yaml’ successfully unpacked and MD5 sums checkedpackage ‘htmltools’ successfully unpacked and MD5 sums checkedpackage ‘evaluate’ successfully unpacked and MD5 sums checkedpackage ‘base64enc’ successfully unpacked and MD5 sums checkedpackage ‘jsonlite’ successfully unpacked and MD5 sums checkedpackage ‘mime’ successfully unpacked and MD5 sums checkedpackage ‘tinytex’ successfully unpacked and MD5 sums checkedpackage ‘xfun’ successfully unpacked and MD5 sums checkedpackage ‘digest’ successfully unpacked and MD5 sums checkedpackage ‘rlang’ successfully unpacked and MD5 sums checkedpackage ‘highr’ successfully unpacked and MD5 sums checkedpackage ‘markdown’ successfully unpacked and MD5 sums checkedpackage ‘glue’ successfully unpacked and MD5 sums checkedpackage ‘magrittr’ successfully unpacked and MD5 sums checkedpackage ‘stringi’ successfully unpacked and MD5 sums checkedpackage ‘backports’ successfully unpacked and MD5 sums checkedpackage ‘clipr’ successfully unpacked and MD5 sums checkedpackage ‘clisymbols’ successfully unpacked and MD5 sums checkedpackage ‘curl’ successfully unpacked and MD5 sums checkedpackage ‘desc’ successfully unpacked and MD5 sums checkedpackage ‘fs’ successfully unpacked and MD5 sums checkedpackage ‘gh’ successfully unpacked and MD5 sums checkedpackage ‘purrr’ successfully unpacked and MD5 sums checkedpackage ‘rprojroot’ successfully unpacked and MD5 sums checkedpackage ‘whisker’ successfully unpacked and MD5 sums checkedpackage ‘withr’ successfully unpacked and MD5 sums checkedpackage ‘assertthat’ successfully unpacked and MD5 sums checkedpackage ‘R6’ successfully unpacked and MD5 sums checkedpackage ‘cli’ successfully unpacked and MD5 sums checkedpackage ‘ini’ successfully unpacked and MD5 sums checkedpackage ‘httr’ successfully unpacked and MD5 sums checkedpackage ‘fansi’ successfully unpacked and MD5 sums checkedpackage ‘openssl’ successfully unpacked and MD5 sums checkedpackage ‘askpass’ successfully unpacked and MD5 sums checkedpackage ‘sys’ successfully unpacked and MD5 sums checkedpackage ‘dplyr’ successfully unpacked and MD5 sums checkedpackage ‘generics’ successfully unpacked and MD5 sums checkedpackage ‘reshape2’ successfully unpacked and MD5 sums checkedpackage ‘tibble’ successfully unpacked and MD5 sums checkedpackage ‘tidyr’ successfully unpacked and MD5 sums checkedpackage ‘ellipsis’ successfully unpacked and MD5 sums checkedpackage ‘pkgconfig’ successfully unpacked and MD5 sums checkedpackage ‘tidyselect’ successfully unpacked and MD5 sums checkedpackage ‘BH’ successfully unpacked and MD5 sums checkedpackage ‘plogr’ successfully unpacked and MD5 sums checkedpackage ‘plyr’ successfully unpacked and MD5 sums checkedpackage ‘pillar’ successfully unpacked and MD5 sums checkedpackage ‘vctrs’ successfully unpacked and MD5 sums checkedpackage ‘lifecycle’ successfully unpacked and MD5 sums checkedpackage ‘utf8’ successfully unpacked and MD5 sums checkedpackage ‘DBI’ successfully unpacked and MD5 sums checkedpackage ‘gtable’ successfully unpacked and MD5 sums checkedpackage ‘lazyeval’ successfully unpacked and MD5 sums checkedpackage ‘scales’ successfully unpacked and MD5 sums checkedpackage ‘viridisLite’ successfully unpacked and MD5 sums checkedpackage ‘farver’ successfully unpacked and MD5 sums checkedpackage ‘labeling’ successfully unpacked and MD5 sums checkedpackage ‘munsell’ successfully unpacked and MD5 sums checkedpackage ‘RColorBrewer’ successfully unpacked and MD5 sums checkedpackage ‘colorspace’ successfully unpacked and MD5 sums checkedpackage ‘forcats’ successfully unpacked and MD5 sums checkedpackage ‘hms’ successfully unpacked and MD5 sums checkedpackage ‘readr’ successfully unpacked and MD5 sums checkedpackage ‘broom’ successfully unpacked and MD5 sums checkedpackage ‘cellranger’ successfully unpacked and MD5 sums checkedpackage ‘progress’ successfully unpacked and MD5 sums checkedpackage ‘rematch’ successfully unpacked and MD5 sums checkedpackage ‘prettyunits’ successfully unpacked and MD5 sums checkedpackage ‘callr’ successfully unpacked and MD5 sums checkedpackage ‘processx’ successfully unpacked and MD5 sums checkedpackage ‘ps’ successfully unpacked and MD5 sums checkedpackage ‘xml2’ successfully unpacked and MD5 sums checkedpackage ‘selectr’ successfully unpacked and MD5 sums checkedpackage ‘dbplyr’ successfully unpacked and MD5 sums checkedpackage ‘ggplot2’ successfully unpacked and MD5 sums checkedpackage ‘haven’ successfully unpacked and MD5 sums checkedpackage ‘lubridate’ successfully unpacked and MD5 sums checkedpackage ‘modelr’ successfully unpacked and MD5 sums checkedpackage ‘readxl’ successfully unpacked and MD5 sums checkedpackage ‘reprex’ successfully unpacked and MD5 sums checkedpackage ‘rvest’ successfully unpacked and MD5 sums checkedThe downloaded binary packages are in	C:\Users\eibf0005\AppData\Local\Temp\RtmpGK1Xi2\downloaded_packagesRunning `R CMD build`...* checking for file 'C:\Users\eibf0005\AppData\Local\Temp\RtmpGK1Xi2\remotes2964500426df\r3-master-6092887ce3dd2f86725fa3840acfb40c0efeb62a/DESCRIPTION' ... OK* preparing 'r3':* checking DESCRIPTION meta-information ... OK* checking for LF line-endings in source and make files and shell scripts* checking for empty or unneeded directories* building 'r3_0.0.0.9000.tar.gz'* installing *source* package 'r3' ...** using staged installation** R** byte-compile and prepare package for lazy loading** help*** installing help indices  converting help for package 'r3'    finding HTML links ... done    check_setup                             html      open_url                                html      r3-package                              html      setup_git_config                        html  ** building package indices** testing if installed package can be loaded from temporary location*** arch - i386*** arch - x64** testing if installed package can be loaded from final location*** arch - i386*** arch - x64** testing if installed package keeps a record of temporary installation path* DONE (r3)"
Please describe the problems you've had.,3,I had some problems installing r3 but then realised that it was because I haven't installed Git yet.
Please describe the problems you've had.,5,"I have no idea what to download from the Git-homepage, or what to do with it once it's downloaded. Should I install both homebrew and MacPorts or only one of them?"
Please describe the problems you've had.,5,I tried to run r3::install_packages_introduction() after installing R3 but there's an error showing it can't find the package called r3
Please describe the problems you've had.,2,"I was installing GIT on my lap top, and I had to take different decisions about the required installation files, which I did not know about. A colleague helped me, but I am still not sure if have taken the right decisions. Hope that I will encounter no problems during the course."
Please describe the problems you've had.,5,"I was unable to download Xcode and the binary thing, but after clearing 30GB of my storage space on my laptop and with the help of the website and chatGPT I managed to install everything accordingly"
Please describe the problems you've had.,3,Instaling the newest version of R-studio on my work laptop - (RegionH)
Please describe the problems you've had.,5,It says that I have the wrong version of Rtools installed but I just followed your link
Please describe the problems you've had.,2,It took me three times to install Gitlab. It said: These packages have more recent versions available. And at the end of the process it gave me errors
Please describe the problems you've had.,5,"Minor problems when getting familiar with RStudio and installing R packages. In RStudio I'm missing the Git-tab in panel C. Relying on the statement that There can be slight differences in your layout of tabs in each panel I hope this will not be a problem. The process of installing remotes did not look as in the instruction video when I did it. However, as the following steps seemed to work out fine I assume it's ok."
Please describe the problems you've had.,3,my versions of r and rstudio were not updated
Please describe the problems you've had.,2,Please have a look at my previously answer
Please describe the problems you've had.,5,Please see the possible improvement before... But I'm not sure if this is a common problem...
Please describe the problems you've had.,5,r3::setup_git_config()
Please describe the problems you've had.,3,Reading the r3::setup_git_config(). It wouldn't work until I upgraded R.
Please describe the problems you've had.,3,the github website was down so I was not able to sign up. I will try again
Please describe the problems you've had.,4,The IT servicedesk at RegionH have to approve installing Git and Rtools and it takes longer than expected.
Please describe the problems you've had.,5,"The Rtools3.5 on the website did not work for me, I got the message saying I need to install the latest version Rtools4.2.The outputs when installing remotes and then github don't look the same as in the videos for me. I get a message saying lib is unspecified when installing remotes. I don't think this is an issue but it might be good to say something about this type of message."
Please describe the problems you've had.,4,"Trying to install the packages, this error appears:> install.packages(remotes)trying URL 'https://cran.rstudio.com/bin/macosx/contrib/4.1/remotes_2.4.2.tgz'Content type 'application/x-gzip' length 395393 bytes (386 KB)==================================================downloaded 386 KB"
Please describe the problems you've had.,2,"we don't have administrator rights on the work computers in RegionH, so all programs need to be installed via the software/ computer center of the Region. they add requested programs to the  softwareshop upon request, but that takes quite some time since they need to be checked for saftety. It is meant to help protect patient data but can make installing programs very slow."
Please describe the problems you've had.,4,When I do the check_setup it seems something is not working right
Please describe the problems you've had.,5,"When installing r3, packages cli and purrr could not be installed from source, binaries were installed instead. I do not think I need further assistance, just my cli version is 3.5 instead of 3.6 and purrr is 1.0.0 instead of 1.0.1...I will try to fix it on my own, but can get there early the first day if needed"
Please describe the problems you've had.,5,"When installing the package remotes the output message was in red font and that made me think there was an error. However, I think it work well. Please check the output below. > install.packages(remotes)trying URL 'https://cran.rstudio.com/bin/macosx/big-sur-arm64/contrib/4.2/remotes_2.4.2.tgz'Content type 'application/x-gzip' length 395161 bytes (385 KB)==================================================downloaded 385 KBThe downloaded binary packages are in	/var/folders/hn/f8c5hyz90b5gfm6730p5r2mw0000gq/T//RtmpuYa46N/downloaded_packages> library(remotes)"
Please describe the problems you've had.,5,"When running r3::install_packages_introduction()ℹ Building purrr 1.0.1Error:        ! error in pak subprocessCaused by error: ! Could not find tools necessary to compile a packageCall `pkgbuild::check_build_tools(debug = TRUE)` to diagnose the problem.ℹ See `$stderr` for standard error.Also, after installing the new version of Rstudio this message appear every time I start a new session. Despite the message, R  work perfectly ( as it normally does). Error in file.exists(pythonPath) :   file name conversion problem -- name too long?"
"In your opinion, what could be improved?",3,-
"In your opinion, what could be improved?",3,-
"In your opinion, what could be improved?",3,-
"In your opinion, what could be improved?",5,-
"In your opinion, what could be improved?",5,-
"In your opinion, what could be improved?",3,?
"In your opinion, what could be improved?",2,...
"In your opinion, what could be improved?",5,/
"In your opinion, what could be improved?",5,A bit more clear instructions on what you need and some tips for Mac users which are often blocked (or partly blocked) from installing certain packages
"In your opinion, what could be improved?",3,A little more help to install Git
"In your opinion, what could be improved?",5,All seems fine to me so far.
"In your opinion, what could be improved?",3,An explanation on how to install Rtools. I think I have done it correctly but with my poor technical understanding I do not feel too sure and that is annoying when it is (as I understand it) quite basic for the rest of the tasks
"In your opinion, what could be improved?",3,At the moment links open in the same tab instead of opening in a new tab.
"In your opinion, what could be improved?",5,Cannot think of anything at the moment.
"In your opinion, what could be improved?",2,"Code of conduct could be shorter. I understand it is necessary, but very wordy :)"
"In your opinion, what could be improved?",4,"Depending on what is taught at the course, maybe you could create some small optional tasks/tutorials on how to use RStudio for complete beginners."
"In your opinion, what could be improved?",3,"Difficult to say, everything is good now:)"
"In your opinion, what could be improved?",3,Don't know.
"In your opinion, what could be improved?",4,error debug
"In your opinion, what could be improved?",5,Everything till now looks fine
"In your opinion, what could be improved?",5,Everything was quite clear
"In your opinion, what could be improved?",4,"Everything worked in my hands, I have no suggestions"
"In your opinion, what could be improved?",5,"For me, everything is perfect until now."
"In your opinion, what could be improved?",3,"For next time, you could give a hint on how long time to use on the precourse activity. I kind of figures it must be a couple of days.... (The DDA, at least at few years ago, kind of made you use days for preparing....)"
"In your opinion, what could be improved?",4,"For now, I do not know exactly."
"In your opinion, what could be improved?",5,"For now, I don't have any suggestions."
"In your opinion, what could be improved?",2,"Guidelines for installation of Git. I hade to go through a lot of steps. I just choose the defualt setting - and hope this is right. A note on whtether this is what should be done could be nice. And is something else should be done, this should be described."
"In your opinion, what could be improved?",5,"Hard to say, I'm happy with the current form."
"In your opinion, what could be improved?",4,How to install and input the code into R
"In your opinion, what could be improved?",2,Hvis linket havde virket hele tiden
"In your opinion, what could be improved?",2,I am satisfied
"In your opinion, what could be improved?",2,"I cannot think of anything, everything was very clear and well structured."
"In your opinion, what could be improved?",5,I did not think about something to change.
"In your opinion, what could be improved?",2,I didn't get the exact same output in R-studio as in the GIF videos - but it seemed to work anyway. When installing remotes it gave me this:These packages have more recent versions available.It is recommended to update all of them.Which would you like to update?1: All                          2: CRAN packages only           3: None                         4: rlang (0.4.4 -> 0.4.5) [CRAN]5: cli   (1.1.0 -> 2.0.2) [CRAN]--> I selected 2.It was fine to use short GIF's to show how to do - but its a bit tricky to spot what the first step was (since the GIF just continues to run). Maybe a video-player where you can stop/play as you want would be better. (however not a big problem when the video is so short)
"In your opinion, what could be improved?",3,I do not have any feedback for this point.
"In your opinion, what could be improved?",3,I do not have improvements for the pre-course material
"In your opinion, what could be improved?",4,I do not know - sorry.
"In your opinion, what could be improved?",5,"I do not think this part of the course requires improvement. I did struggle with some installations (in R, of packages cli and purrrr), but as soon as I installed from binary instead of source it worked, I would have liked to see a warning that this could happen."
"In your opinion, what could be improved?",5,I don't have any overall criticism because I think the tutorial was very good. More specifically I got an error when installing the r3 package:Error:                                                                           ! error in pak subprocessCaused by error: ! Cannot install packages:* r3: Can't find package called r3.that might become a problem(?)
"In your opinion, what could be improved?",3,I don't know
"In your opinion, what could be improved?",4,"I got a bit lost in what I need to read (syllabus, git website, rmarkdown webpage, assignment) and moving back and forth the different documents, but that might just be me :)"
"In your opinion, what could be improved?",5,"I guess... maybe the sequence of the content? For example, maybe I need to read Section 4.3 after Section 3.8, rather than before, because I can't check configurations before I set up them...? And when I read Section 3.8 for the first time, there is no Git tab in my Panel C, so I stopped to find a solution to it... Actually, it will appear after creating a project, but this content is at the end of Section 4.3..."
"In your opinion, what could be improved?",5,I had a problem with this commend:> r3::install_packages_introduction()✔ Updated metadata database: 5.07 MB in 12 files.                               ✔ Updating metadata database ... done                                           Error:                                                                           ! error in pak subprocessCaused by error: ! Cannot install packages:* r3: Can't find package called r3.
"In your opinion, what could be improved?",3,"I had already installed Rstudio and even a version higher than suggested, so I figured I could do the installations. But for some reasons, I still needed to update RStudio. Don't know if is was just a bug on my end."
"In your opinion, what could be improved?",2,"I had to install the package 'remotes' prior to starting, which was fine, but it's not mentioned on the page (unless I missed it!). Might cause some confusion for some people who have never opened R prior to this:)"
"In your opinion, what could be improved?",5,"I have nothing negative to say. However, just as a heads-up, the Rtools (provided link) version wasn't compatibile with new R version."
"In your opinion, what could be improved?",2,"I have troubles installing Gitlab, It said: These packages have more recent versions available. It it took me three attemps to do it."
"In your opinion, what could be improved?",4,I just noticed that the videos were a bit different from the results I got when installing r3. I thought that the videos might be outdated? But it worked fine :)
"In your opinion, what could be improved?",4,"I know I might have missed some previous information bit I am from regionH, and for me the reminder for installing additional software could be at least 14 days. I have waited a week to get Git and Rtools installed already."
"In your opinion, what could be improved?",5,I might will have like some videos in some of the starting parts
"In your opinion, what could be improved?",2,"I think although having problems with Git, all the instructions are straight forward"
