course_version,day,session,worked_well,could_be_improved
2,Day 1,Version control and collaborative practices,Most of it worked very well. It was a very good pace and did not feel rushed even though it was a little bit complicated.,"There were times where we were reading and doing the task and then after reading it we did the exact same thing together. This felt like a little bit of waste of time. Since the last parts were very hands on, maybe just a demonstration without the reading would be better."
2,Day 1,Version control and collaborative practices,"I think it worked very well in general. Git was new to most if us and most managed to install, commit and push files.","Since git is new for most people, I feel that this specific part can have more verbal explanation rather than reading. I feel a verbal explanation of important concepts before reading can help. However, I felt it all worked very well regardless."
2,Day 1,Version control and collaborative practices,Well explained topic and a lot of help from the people managing the course.,I'm happy with the knowledge I got today.
2,Day 1,Version control and collaborative practices,"Clear and easy going, never left anyone behind - got help fast if you got stuck.","While I think it was easy to follow and not to fast, the morning was an easier topic so maybe spend more time on the version control and slightly less on the management of R projects session."
2,Day 1,Version control and collaborative practices,"I really like that we did things step by step, and that it was time for getting help if needed. Over expectations with breakfast and coffee!","Sometimes it is a little bit difficult to really understand what you are doing in the practical tasks. I felt I was just doing what I was told, especially in the end of the session. I also think an earlier break would have been helpful to avoid getting too tired."
2,Day 1,Version control and collaborative practices,"Code along is a good idea. It was good to read on our own, get time to reflect and then code.",N/A
2,Day 1,Version control and collaborative practices,Comprehensive introduction to basics.,"Too much time dedicated to reading. In the provided materials there's no indication, which exercises we should or should't do, so naturally most people finished with reading followed with exercises."
1,Day 2,Creating reproducible documents,Everything,Nothing
1,Day 2,Creating reproducible documents,x,We didn't have time enough to go through all the exercises
1,Day 2,Creating reproducible documents,"really thorough explaination by Hannah, very pedagogical",a little long in the end
1,Day 2,Creating reproducible documents,That was a fun and useful session.,It would be good to explain a bit more exactly how that goes into your workflow (like getting stuff right in the scripts and then pasting the relevant bit to the markdown as an example)
1,Day 2,Creating reproducible documents,Individual exercises,Information on how to cooperate with non-R users (ie. supervisors).
1,Day 2,Creating reproducible documents,repetitive exercises,nothing specific
1,Day 2,Creating reproducible documents,"As we went along it started to make sense, why you should do this",Long day....
1,Day 2,Creating reproducible documents,learned lots,explain pipes again
1,Day 2,Creating reproducible documents,code along and lecture,More time
1,Day 2,Creating reproducible documents,Very interesting to learn the knit function to see what we can do,Perhaps spend more time on this section as it was much harder that the earlier session (or could be that we are tired at the end of the day)
1,Day 2,Creating reproducible documents,Code-along is working well,?
1,Day 2,Creating reproducible documents,Code-along,"Clearer overview, many details"
1,Day 2,Creating reproducible documents,everything,nothing
1,Day 2,Creating reproducible documents,Nice lecture by Daniel. Very clear rmarkdown session.,NA
1,Day 2,Creating reproducible documents,Coding along,I was very tired at the end of the day. Maybe the days should not be this long.
1,Day 2,Creating reproducible documents,code-along,It was difficult to do the exercises
1,Day 2,Creating reproducible documents,Same answer as above: Doing code-along and then exercises works very well.,I do not have any suggestions.
1,Day 2,Creating reproducible documents,The walk-thought was good,"The lack of time, meant that parts were skipped - sadly."
1,Day 2,Creating reproducible documents,Really useful and cool thing to learn R markdown.,It went a bit too fast for me/too bad we had to skip some sections due to time. But then again one can just play around later since it's open source learning material B-)
1,Day 2,Creating reproducible documents,It was nice to finally get an idea of what markdown is,"a bit more on how it is actually ""build""/structured before starting to add text/code to the document."
1,Day 2,Creating reproducible documents,Good lecture but I prefer the code-alongs,See comments above
1,Day 2,Creating reproducible documents,following,NA
1,Day 2,Creating reproducible documents,"Everything, started simple and then go more complicated. I feel very suited for using Markdown.",I think the advanced exercise could be better described. More specific what and why we are doing?
1,Day 2,Creating reproducible documents,Very helpful introduction to RMarkdown. Good examples and it makes great sense as a tool.,A bit more time
1,Day 2,Creating reproducible documents,"Everything, started simple and then go more complicated. I feel very suited for using Markdown.",I think the advanced exercise could be better described. More specific what and why we are doing?
1,Day 2,Creating reproducible documents,The coe-along,all good
1,Day 2,Creating reproducible documents,enjoy the session,nothing specific
1,Day 2,Creating reproducible documents,Same as above.,More time for hands-on.
1,Day 2,Creating reproducible documents,all good,all good
1,Day 2,Creating reproducible documents,all,more practise
1,Day 2,Creating reproducible documents,all was fine,nothing special
