course_version,id,statement,response
1,0e279882b3,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
1,f17d1fe897,I think I learned a lot from this course,Strongly agree
1,f17d1fe897,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,f17d1fe897,I think the content on the website clearly communicated the concepts,Strongly agree
1,f17d1fe897,I think the instructors clearly communicated the concepts,Strongly agree
1,f17d1fe897,I think there was good alignment between the learning activities,Agree
1,f17d1fe897,"In general, I think this is a good course",Strongly agree
1,f17d1fe897,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,877da404af,I think I learned a lot from this course,Strongly agree
1,877da404af,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,877da404af,I think the content on the website clearly communicated the concepts,Agree
1,877da404af,I think the instructors clearly communicated the concepts,Strongly agree
1,877da404af,I think there was good alignment between the learning activities,Agree
1,877da404af,"In general, I think this is a good course",Strongly agree
1,877da404af,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,485ce2420e,I think I learned a lot from this course,Strongly agree
1,485ce2420e,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,485ce2420e,I think the content on the website clearly communicated the concepts,Neutral
1,485ce2420e,I think the instructors clearly communicated the concepts,Agree
1,485ce2420e,I think there was good alignment between the learning activities,Agree
1,485ce2420e,"In general, I think this is a good course",Strongly agree
1,485ce2420e,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,fc390613ad,I think I learned a lot from this course,Strongly agree
1,fc390613ad,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,fc390613ad,I think the content on the website clearly communicated the concepts,Strongly agree
1,fc390613ad,I think the instructors clearly communicated the concepts,Strongly agree
1,fc390613ad,I think there was good alignment between the learning activities,Agree
1,fc390613ad,"In general, I think this is a good course",Strongly agree
1,fc390613ad,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,2a6e526623,I think I learned a lot from this course,Strongly agree
1,2a6e526623,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,2a6e526623,I think the content on the website clearly communicated the concepts,Strongly agree
1,2a6e526623,I think the instructors clearly communicated the concepts,Strongly agree
1,2a6e526623,I think there was good alignment between the learning activities,Strongly agree
1,2a6e526623,"In general, I think this is a good course",Strongly agree
1,2a6e526623,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,f9a8701fa8,I think I learned a lot from this course,Strongly agree
1,f9a8701fa8,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,f9a8701fa8,I think the content on the website clearly communicated the concepts,Strongly agree
1,f9a8701fa8,I think the instructors clearly communicated the concepts,Strongly agree
1,f9a8701fa8,I think there was good alignment between the learning activities,Strongly agree
1,f9a8701fa8,"In general, I think this is a good course",Strongly agree
1,f9a8701fa8,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,2ecacb73a0,I think I learned a lot from this course,Strongly agree
1,2ecacb73a0,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,2ecacb73a0,I think the content on the website clearly communicated the concepts,Agree
1,2ecacb73a0,I think the instructors clearly communicated the concepts,Agree
1,2ecacb73a0,I think there was good alignment between the learning activities,Strongly agree
1,2ecacb73a0,"In general, I think this is a good course",Strongly agree
1,2ecacb73a0,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,8100198dcc,I think I learned a lot from this course,Agree
1,8100198dcc,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,8100198dcc,I think the content on the website clearly communicated the concepts,Neutral
1,8100198dcc,I think the instructors clearly communicated the concepts,Agree
1,8100198dcc,I think there was good alignment between the learning activities,Disagree
1,8100198dcc,"In general, I think this is a good course",Agree
1,8100198dcc,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
1,10c472630a,I think I learned a lot from this course,Agree
1,10c472630a,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,10c472630a,I think the content on the website clearly communicated the concepts,Agree
1,10c472630a,I think the instructors clearly communicated the concepts,Agree
1,10c472630a,I think there was good alignment between the learning activities,Agree
1,10c472630a,"In general, I think this is a good course",Agree
1,10c472630a,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,48dd4be165,I think I learned a lot from this course,Agree
1,48dd4be165,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,48dd4be165,I think the content on the website clearly communicated the concepts,Agree
1,48dd4be165,I think the instructors clearly communicated the concepts,Agree
1,48dd4be165,I think there was good alignment between the learning activities,Agree
1,48dd4be165,"In general, I think this is a good course",Agree
1,48dd4be165,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
1,325bbbb1f3,I think I learned a lot from this course,Strongly agree
1,325bbbb1f3,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,325bbbb1f3,I think the content on the website clearly communicated the concepts,Strongly agree
1,325bbbb1f3,I think the instructors clearly communicated the concepts,Strongly agree
1,325bbbb1f3,I think there was good alignment between the learning activities,Agree
1,325bbbb1f3,"In general, I think this is a good course",Strongly agree
1,325bbbb1f3,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,9000053b0b,I think I learned a lot from this course,Strongly agree
1,9000053b0b,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,9000053b0b,I think the content on the website clearly communicated the concepts,Strongly agree
1,9000053b0b,I think the instructors clearly communicated the concepts,Strongly agree
1,9000053b0b,I think there was good alignment between the learning activities,Agree
1,9000053b0b,"In general, I think this is a good course",Agree
1,9000053b0b,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,98fcddfd70,I think I learned a lot from this course,Strongly agree
1,98fcddfd70,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,98fcddfd70,I think the content on the website clearly communicated the concepts,Strongly agree
1,98fcddfd70,I think the instructors clearly communicated the concepts,Strongly agree
1,98fcddfd70,I think there was good alignment between the learning activities,Strongly agree
1,98fcddfd70,"In general, I think this is a good course",Strongly agree
1,98fcddfd70,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,94f1d115f9,I think I learned a lot from this course,Strongly agree
1,94f1d115f9,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,94f1d115f9,I think the content on the website clearly communicated the concepts,Strongly agree
1,94f1d115f9,I think the instructors clearly communicated the concepts,Strongly agree
1,94f1d115f9,I think there was good alignment between the learning activities,Strongly agree
1,94f1d115f9,"In general, I think this is a good course",Strongly agree
1,94f1d115f9,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,6be87de42c,I think I learned a lot from this course,Agree
1,6be87de42c,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,6be87de42c,I think the content on the website clearly communicated the concepts,Strongly agree
1,6be87de42c,I think the instructors clearly communicated the concepts,Strongly agree
1,6be87de42c,I think there was good alignment between the learning activities,Strongly agree
1,6be87de42c,"In general, I think this is a good course",Strongly agree
1,6be87de42c,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,46e7a2fda9,I think I learned a lot from this course,Strongly agree
1,46e7a2fda9,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,46e7a2fda9,I think the content on the website clearly communicated the concepts,Strongly agree
1,46e7a2fda9,I think the instructors clearly communicated the concepts,Strongly agree
1,46e7a2fda9,I think there was good alignment between the learning activities,Strongly agree
1,46e7a2fda9,"In general, I think this is a good course",Strongly agree
1,46e7a2fda9,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,0d3fb39c06,I think I learned a lot from this course,Strongly agree
1,0d3fb39c06,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,0d3fb39c06,I think the content on the website clearly communicated the concepts,Strongly agree
1,0d3fb39c06,I think the instructors clearly communicated the concepts,Strongly agree
1,0d3fb39c06,I think there was good alignment between the learning activities,Strongly agree
1,0d3fb39c06,"In general, I think this is a good course",Strongly agree
1,0d3fb39c06,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,b181f18453,I think I learned a lot from this course,Strongly agree
1,b181f18453,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,b181f18453,I think the content on the website clearly communicated the concepts,Strongly agree
1,b181f18453,I think the instructors clearly communicated the concepts,Strongly agree
1,b181f18453,I think there was good alignment between the learning activities,Strongly agree
1,b181f18453,"In general, I think this is a good course",Strongly agree
1,b181f18453,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,3ce6bf20e3,I think I learned a lot from this course,Strongly agree
1,3ce6bf20e3,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,3ce6bf20e3,I think the content on the website clearly communicated the concepts,Strongly agree
1,3ce6bf20e3,I think the instructors clearly communicated the concepts,Strongly agree
1,3ce6bf20e3,I think there was good alignment between the learning activities,Strongly agree
1,3ce6bf20e3,"In general, I think this is a good course",Strongly agree
1,3ce6bf20e3,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,b8e96de04c,I think I learned a lot from this course,Strongly agree
1,b8e96de04c,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,b8e96de04c,I think the content on the website clearly communicated the concepts,Strongly agree
1,b8e96de04c,I think the instructors clearly communicated the concepts,Agree
1,b8e96de04c,I think there was good alignment between the learning activities,Strongly agree
1,b8e96de04c,"In general, I think this is a good course",Strongly agree
1,b8e96de04c,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,b5e13659e1,I think I learned a lot from this course,Strongly agree
1,b5e13659e1,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,b5e13659e1,I think the content on the website clearly communicated the concepts,Agree
1,b5e13659e1,I think the instructors clearly communicated the concepts,Strongly agree
1,b5e13659e1,I think there was good alignment between the learning activities,Strongly agree
1,b5e13659e1,"In general, I think this is a good course",Strongly agree
1,b5e13659e1,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,f859a50612,I think I learned a lot from this course,Strongly agree
1,f859a50612,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,f859a50612,I think the content on the website clearly communicated the concepts,Strongly agree
1,f859a50612,I think the instructors clearly communicated the concepts,Strongly agree
1,f859a50612,I think there was good alignment between the learning activities,Strongly agree
1,f859a50612,"In general, I think this is a good course",Strongly agree
1,f859a50612,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
1,e5090b18aa,I think I learned a lot from this course,Agree
1,e5090b18aa,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,e5090b18aa,I think the content on the website clearly communicated the concepts,Agree
1,e5090b18aa,I think the instructors clearly communicated the concepts,Agree
1,e5090b18aa,I think there was good alignment between the learning activities,Agree
1,e5090b18aa,"In general, I think this is a good course",Strongly agree
1,e5090b18aa,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,b9231dedc9,I think I learned a lot from this course,Strongly agree
1,b9231dedc9,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,b9231dedc9,I think the content on the website clearly communicated the concepts,Strongly agree
1,b9231dedc9,I think the instructors clearly communicated the concepts,Strongly agree
1,b9231dedc9,I think there was good alignment between the learning activities,Agree
1,b9231dedc9,"In general, I think this is a good course",Strongly agree
1,b9231dedc9,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,2c032715fc,I think I learned a lot from this course,Strongly agree
1,2c032715fc,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,2c032715fc,I think the content on the website clearly communicated the concepts,Strongly agree
1,2c032715fc,I think the instructors clearly communicated the concepts,Strongly agree
1,2c032715fc,I think there was good alignment between the learning activities,Strongly agree
1,2c032715fc,"In general, I think this is a good course",Strongly agree
1,2c032715fc,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,d07d9acf19,I think I learned a lot from this course,Disagree
1,d07d9acf19,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,d07d9acf19,I think the content on the website clearly communicated the concepts,Strongly agree
1,d07d9acf19,I think the instructors clearly communicated the concepts,Strongly agree
1,d07d9acf19,I think there was good alignment between the learning activities,Strongly agree
1,d07d9acf19,"In general, I think this is a good course",Agree
1,d07d9acf19,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,57bc797494,I think I learned a lot from this course,Strongly agree
1,57bc797494,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,57bc797494,I think the content on the website clearly communicated the concepts,Strongly agree
1,57bc797494,I think the instructors clearly communicated the concepts,Strongly agree
1,57bc797494,I think there was good alignment between the learning activities,Strongly agree
1,57bc797494,"In general, I think this is a good course",Strongly agree
1,57bc797494,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,9c133b5a4d,I think I learned a lot from this course,Strongly agree
1,9c133b5a4d,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,9c133b5a4d,I think the content on the website clearly communicated the concepts,Agree
1,9c133b5a4d,I think the instructors clearly communicated the concepts,Strongly agree
1,9c133b5a4d,I think there was good alignment between the learning activities,Strongly agree
1,9c133b5a4d,"In general, I think this is a good course",Strongly agree
1,9c133b5a4d,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,aafdb94cb7,I think I learned a lot from this course,Agree
1,aafdb94cb7,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,aafdb94cb7,I think the content on the website clearly communicated the concepts,Strongly agree
1,aafdb94cb7,I think the instructors clearly communicated the concepts,Strongly agree
1,aafdb94cb7,I think there was good alignment between the learning activities,Agree
1,aafdb94cb7,"In general, I think this is a good course",Strongly agree
1,aafdb94cb7,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,0b1d688ed8,I think I learned a lot from this course,Strongly agree
1,0b1d688ed8,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,0b1d688ed8,I think the content on the website clearly communicated the concepts,Strongly agree
1,0b1d688ed8,I think the instructors clearly communicated the concepts,Agree
1,0b1d688ed8,I think there was good alignment between the learning activities,Agree
1,0b1d688ed8,"In general, I think this is a good course",Strongly agree
1,0b1d688ed8,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,a591dc03f9,I think I learned a lot from this course,Agree
1,a591dc03f9,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,a591dc03f9,I think the content on the website clearly communicated the concepts,Agree
1,a591dc03f9,I think the instructors clearly communicated the concepts,Agree
1,a591dc03f9,I think there was good alignment between the learning activities,Agree
1,a591dc03f9,"In general, I think this is a good course",Agree
1,a591dc03f9,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
1,ce1d6c9272,I think I learned a lot from this course,Strongly agree
1,ce1d6c9272,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,ce1d6c9272,I think the content on the website clearly communicated the concepts,Neutral
1,ce1d6c9272,I think the instructors clearly communicated the concepts,Agree
1,ce1d6c9272,I think there was good alignment between the learning activities,Strongly agree
1,ce1d6c9272,"In general, I think this is a good course",Strongly agree
1,ce1d6c9272,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
1,1ec0db53d6,I think I learned a lot from this course,Strongly agree
1,1ec0db53d6,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,1ec0db53d6,I think the content on the website clearly communicated the concepts,Strongly agree
1,1ec0db53d6,I think the instructors clearly communicated the concepts,Strongly agree
1,1ec0db53d6,I think there was good alignment between the learning activities,Agree
1,1ec0db53d6,"In general, I think this is a good course",Strongly agree
1,1ec0db53d6,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,f71a22f673,I think I learned a lot from this course,Strongly agree
1,f71a22f673,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,f71a22f673,I think the content on the website clearly communicated the concepts,Strongly agree
1,f71a22f673,I think the instructors clearly communicated the concepts,Strongly agree
1,f71a22f673,I think there was good alignment between the learning activities,Strongly agree
1,f71a22f673,"In general, I think this is a good course",Strongly agree
1,f71a22f673,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,b048842b0a,I think I learned a lot from this course,Strongly agree
1,b048842b0a,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,b048842b0a,I think the content on the website clearly communicated the concepts,Strongly agree
1,b048842b0a,I think the instructors clearly communicated the concepts,Strongly agree
1,b048842b0a,I think there was good alignment between the learning activities,Strongly agree
1,b048842b0a,"In general, I think this is a good course",Strongly agree
1,b048842b0a,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,33464395cd,I think I learned a lot from this course,Strongly agree
1,33464395cd,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,33464395cd,I think the content on the website clearly communicated the concepts,Strongly agree
1,33464395cd,I think the instructors clearly communicated the concepts,Strongly agree
1,33464395cd,I think there was good alignment between the learning activities,Strongly agree
1,33464395cd,"In general, I think this is a good course",Strongly agree
1,33464395cd,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,b4ea2b8f7b,I think I learned a lot from this course,Strongly agree
1,b4ea2b8f7b,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,b4ea2b8f7b,I think the content on the website clearly communicated the concepts,Strongly agree
1,b4ea2b8f7b,I think the instructors clearly communicated the concepts,Agree
1,b4ea2b8f7b,I think there was good alignment between the learning activities,Strongly agree
1,b4ea2b8f7b,"In general, I think this is a good course",Strongly agree
1,b4ea2b8f7b,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
1,6b97cad33d,I think I learned a lot from this course,Strongly agree
1,6b97cad33d,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,6b97cad33d,I think the content on the website clearly communicated the concepts,Agree
1,6b97cad33d,I think the instructors clearly communicated the concepts,Agree
1,6b97cad33d,I think there was good alignment between the learning activities,Strongly agree
1,6b97cad33d,"In general, I think this is a good course",Strongly agree
1,6b97cad33d,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,6767848f9a,I think I learned a lot from this course,Strongly disagree
1,6767848f9a,I think there was a good mix of learning activities that encouraged my active participation,Strongly disagree
1,6767848f9a,I think the content on the website clearly communicated the concepts,Strongly disagree
1,6767848f9a,I think the instructors clearly communicated the concepts,Strongly disagree
1,6767848f9a,I think there was good alignment between the learning activities,Strongly disagree
1,6767848f9a,"In general, I think this is a good course",Strongly disagree
1,6767848f9a,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly disagree
1,d9330870f5,I think I learned a lot from this course,Agree
1,d9330870f5,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,d9330870f5,I think the content on the website clearly communicated the concepts,Strongly agree
1,d9330870f5,I think the instructors clearly communicated the concepts,Agree
1,d9330870f5,I think there was good alignment between the learning activities,Agree
1,d9330870f5,"In general, I think this is a good course",Agree
1,d9330870f5,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
1,5e164fed6b,I think I learned a lot from this course,Strongly agree
1,5e164fed6b,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,5e164fed6b,I think the content on the website clearly communicated the concepts,Agree
1,5e164fed6b,I think the instructors clearly communicated the concepts,Strongly agree
1,5e164fed6b,I think there was good alignment between the learning activities,Strongly agree
1,5e164fed6b,"In general, I think this is a good course",Strongly agree
1,5e164fed6b,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,69cc3c75fd,I think I learned a lot from this course,Strongly agree
1,69cc3c75fd,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,69cc3c75fd,I think the content on the website clearly communicated the concepts,Strongly agree
1,69cc3c75fd,I think the instructors clearly communicated the concepts,Strongly agree
1,69cc3c75fd,I think there was good alignment between the learning activities,Strongly agree
1,69cc3c75fd,"In general, I think this is a good course",Strongly agree
1,69cc3c75fd,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,ab53a46e35,I think I learned a lot from this course,Strongly agree
1,ab53a46e35,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,ab53a46e35,I think the content on the website clearly communicated the concepts,Strongly agree
1,ab53a46e35,I think the instructors clearly communicated the concepts,Strongly agree
1,ab53a46e35,I think there was good alignment between the learning activities,Strongly agree
1,ab53a46e35,"In general, I think this is a good course",Strongly agree
1,ab53a46e35,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,1cf3278696,I think I learned a lot from this course,Strongly agree
1,1cf3278696,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,1cf3278696,I think the content on the website clearly communicated the concepts,Strongly agree
1,1cf3278696,I think the instructors clearly communicated the concepts,Strongly agree
1,1cf3278696,I think there was good alignment between the learning activities,Agree
1,1cf3278696,"In general, I think this is a good course",Strongly agree
1,1cf3278696,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,30946f4218,I think I learned a lot from this course,Agree
1,30946f4218,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,30946f4218,I think the content on the website clearly communicated the concepts,Agree
1,30946f4218,I think the instructors clearly communicated the concepts,Strongly agree
1,30946f4218,I think there was good alignment between the learning activities,Agree
1,30946f4218,"In general, I think this is a good course",Strongly agree
1,30946f4218,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,cd73e51048,I think I learned a lot from this course,Strongly agree
1,cd73e51048,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,cd73e51048,I think the content on the website clearly communicated the concepts,Strongly agree
1,cd73e51048,I think the instructors clearly communicated the concepts,Strongly agree
1,cd73e51048,I think there was good alignment between the learning activities,Strongly agree
1,cd73e51048,"In general, I think this is a good course",Strongly agree
1,cd73e51048,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,c254ed830e,I think I learned a lot from this course,Strongly agree
1,c254ed830e,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,c254ed830e,I think the content on the website clearly communicated the concepts,Strongly agree
1,c254ed830e,I think the instructors clearly communicated the concepts,Strongly agree
1,c254ed830e,I think there was good alignment between the learning activities,Strongly agree
1,c254ed830e,"In general, I think this is a good course",Strongly agree
1,c254ed830e,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,30b3b362c7,I think I learned a lot from this course,Strongly agree
1,30b3b362c7,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,30b3b362c7,I think the content on the website clearly communicated the concepts,Strongly agree
1,30b3b362c7,I think the instructors clearly communicated the concepts,Strongly agree
1,30b3b362c7,I think there was good alignment between the learning activities,Strongly agree
1,30b3b362c7,"In general, I think this is a good course",Strongly agree
1,30b3b362c7,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,7cb0c0eb6d,I think I learned a lot from this course,Strongly agree
1,7cb0c0eb6d,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,7cb0c0eb6d,I think the content on the website clearly communicated the concepts,Agree
1,7cb0c0eb6d,I think the instructors clearly communicated the concepts,Agree
1,7cb0c0eb6d,I think there was good alignment between the learning activities,Strongly agree
1,7cb0c0eb6d,"In general, I think this is a good course",Strongly agree
1,7cb0c0eb6d,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,ce5bd8c74d,I think I learned a lot from this course,Agree
1,ce5bd8c74d,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,ce5bd8c74d,I think the content on the website clearly communicated the concepts,Strongly agree
1,ce5bd8c74d,I think the instructors clearly communicated the concepts,Strongly agree
1,ce5bd8c74d,I think there was good alignment between the learning activities,Strongly agree
1,ce5bd8c74d,"In general, I think this is a good course",Agree
1,ce5bd8c74d,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,b094a1dff0,I think I learned a lot from this course,Strongly agree
1,b094a1dff0,I think there was a good mix of learning activities that encouraged my active participation,Agree
