course_version,questions,responses,count
2,What programs have you previously used for data analysis?,"Python, Matlab, Linux",1
2,What programs have you previously used for data analysis?,SAS,2
2,What programs have you previously used for data analysis?,"SAS, Excel",1
2,What programs have you previously used for data analysis?,"SAS, SPSS, Excel, R",1
2,What programs have you previously used for data analysis?,"SAS, SPSS, Python, Excel",1
2,What programs have you previously used for data analysis?,SPSS,1
2,What programs have you previously used for data analysis?,"SPSS, Excel",1
2,What programs have you previously used for data analysis?,"SPSS, Excel, Graphpad Prism",1
2,What programs have you previously used for data analysis?,"SPSS, Stata",1
2,What programs have you previously used for data analysis?,Stata,2
2,What is your formal position?,PhD student,15
2,What is your formal position?,Postdoc,6
2,What is your formal position?,Research assistant,1
2,What is your formal position?,Scientist,1
3,Do you accept the conditions laid out in the Code of Conduct?,Yes,19
3,What city do you work in or nearest to?,Aalborg,1
3,What city do you work in or nearest to?,Aarhus,3
3,What city do you work in or nearest to?,Copenhagen,13
3,What city do you work in or nearest to?,Odense,2
3,What gender do you identify with?,Man,4
3,What gender do you identify with?,Woman,15
3,Perceived skill/knowledge in data analysis in general?,Beginner,2
3,Perceived skill/knowledge in data analysis in general?,Beginner-Intermediate,7
3,Perceived skill/knowledge in data analysis in general?,Intermediate,8
3,Perceived skill/knowledge in data analysis in general?,Intermediate-Advanced,2
3,Perceived skill/knowledge in formal version control (e.g. Git)?,Beginner,17
3,Perceived skill/knowledge in formal version control (e.g. Git)?,Beginner-Intermediate,2
3,Perceived skill/knowledge in managing data in general?,Beginner,3
3,Perceived skill/knowledge in managing data in general?,Beginner-Intermediate,10
3,Perceived skill/knowledge in managing data in general?,Intermediate,6
3,Perceived skill/knowledge in programming in general?,Beginner,12
3,Perceived skill/knowledge in programming in general?,Beginner-Intermediate,4
3,Perceived skill/knowledge in programming in general?,Intermediate,3
3,Perceived skill/knowledge in using R?,Beginner,5
3,Perceived skill/knowledge in using R?,Beginner-Intermediate,10
3,Perceived skill/knowledge in using R?,Intermediate,4
3,Perceived skill/knowledge in writing in or using R Markdown?,Beginner,8
3,Perceived skill/knowledge in writing in or using R Markdown?,Beginner-Intermediate,9
3,Perceived skill/knowledge in writing in or using R Markdown?,Intermediate,2
3,What programs have you previously used for data analysis?,Excel,2
3,What programs have you previously used for data analysis?,"Excel, GraphPad Prism",2
3,What programs have you previously used for data analysis?,"Python, Excel",1
3,What programs have you previously used for data analysis?,"Python, Excel, GraphPad Prism",1
3,What programs have you previously used for data analysis?,"Python, Matlab, Excel, GraphPad Prism",1
3,What programs have you previously used for data analysis?,"SAS/SAS JMP, Excel",1
3,What programs have you previously used for data analysis?,"SPSS, Excel",3
3,What programs have you previously used for data analysis?,"SPSS, Excel, GraphPad Prism",3
3,What programs have you previously used for data analysis?,"SPSS, GraphPad Prism",1
3,What programs have you previously used for data analysis?,"SPSS, Stata, Python, Excel, GraphPad Prism",1
3,What programs have you previously used for data analysis?,Stata,2
3,What programs have you previously used for data analysis?,"Stata, Matlab, Excel, SigmaPlot",1
3,What is your formal position?,PhD student,12
3,What is your formal position?,Postdoc,6
3,What is your formal position?,Researcher,1
3,How often do you currently use: dplyr,Few times a month,2
3,How often do you currently use: dplyr,Few times a week,2
3,How often do you currently use: dplyr,Never,4
3,How often do you currently use: dplyr,Once a month,6
3,How often do you currently use: dplyr,Once a week,5
3,How often do you currently use: GitHub/GitLab and Git,Few times a month,1
3,How often do you currently use: GitHub/GitLab and Git,Never,12
3,How often do you currently use: GitHub/GitLab and Git,Once a month,5
3,How often do you currently use: GitHub/GitLab and Git,Once a week,1
3,How often do you currently use: pipe (%>%),Few times a month,1
3,How often do you currently use: pipe (%>%),Few times a week,2
3,How often do you currently use: pipe (%>%),Never,5
3,How often do you currently use: pipe (%>%),Once a month,8
3,How often do you currently use: pipe (%>%),Once a week,3
3,How often do you currently use: purrr,Few times a month,1
3,How often do you currently use: purrr,Never,14
3,How often do you currently use: purrr,Once a month,2
3,How often do you currently use: purrr,Once a week,2
3,How often do you currently use: R Markdown,Few times a month,3
3,How often do you currently use: R Markdown,Few times a week,2
3,How often do you currently use: R Markdown,Never,8
3,How often do you currently use: R Markdown,Once a month,4
3,How often do you currently use: R Markdown,Once a week,2
3,How often do you currently use: tidyr,Few times a month,2
3,How often do you currently use: tidyr,Few times a week,1
3,How often do you currently use: tidyr,Never,5
3,How often do you currently use: tidyr,Once a month,6
3,How often do you currently use: tidyr,Once a week,5
3,How often do you currently use: tidyverse,Few times a month,1
3,How often do you currently use: tidyverse,Few times a week,2
3,How often do you currently use: tidyverse,Never,4
3,How often do you currently use: tidyverse,Once a month,7
3,How often do you currently use: tidyverse,Once a week,5
3,How often do you currently use: vroom/readr,Few times a month,1
3,How often do you currently use: vroom/readr,Never,15
3,How often do you currently use: vroom/readr,Once a month,3
4,Do you accept the conditions laid out in the Code of Conduct?,Yes,31
4,What city do you work in or nearest to?,Aarhus,12
4,What city do you work in or nearest to?,Copenhagen,9
4,What city do you work in or nearest to?,Malmö,2
4,What city do you work in or nearest to?,Odense,7
4,What city do you work in or nearest to?,"Potsdam, Germany",1
4,What gender do you identify with?,Man,14
4,What gender do you identify with?,Woman,17
4,Perceived skill/knowledge in data analysis in general?,Advanced,2
4,Perceived skill/knowledge in data analysis in general?,Beginner,3
4,Perceived skill/knowledge in data analysis in general?,Beginner-Intermediate,10
4,Perceived skill/knowledge in data analysis in general?,Intermediate,12
4,Perceived skill/knowledge in data analysis in general?,Intermediate-Advanced,4
4,Perceived skill/knowledge in formal version control (e.g. Git)?,Beginner,24
4,Perceived skill/knowledge in formal version control (e.g. Git)?,Beginner-Intermediate,7
4,Perceived skill/knowledge in managing data in general?,Advanced,2
4,Perceived skill/knowledge in managing data in general?,Beginner,7
4,Perceived skill/knowledge in managing data in general?,Beginner-Intermediate,12
4,Perceived skill/knowledge in managing data in general?,Intermediate,6
4,Perceived skill/knowledge in managing data in general?,Intermediate-Advanced,4
4,Perceived skill/knowledge in programming in general?,Beginner,17
4,Perceived skill/knowledge in programming in general?,Beginner-Intermediate,10
4,Perceived skill/knowledge in programming in general?,Intermediate,3
4,Perceived skill/knowledge in programming in general?,Intermediate-Advanced,1
4,Perceived skill/knowledge in using R?,Beginner,14
4,Perceived skill/knowledge in using R?,Beginner-Intermediate,13
4,Perceived skill/knowledge in using R?,Intermediate,3
4,Perceived skill/knowledge in using R?,Intermediate-Advanced,1
4,Perceived skill/knowledge in writing in or using R Markdown?,Beginner,16
4,Perceived skill/knowledge in writing in or using R Markdown?,Beginner-Intermediate,12
4,Perceived skill/knowledge in writing in or using R Markdown?,Intermediate,2
4,Perceived skill/knowledge in writing in or using R Markdown?,Intermediate-Advanced,1
4,What programs have you previously used for data analysis?,Excel,2
4,What programs have you previously used for data analysis?,"Excel, GraphPad Prism",5
4,What programs have you previously used for data analysis?,GraphPad Prism,3
4,What programs have you previously used for data analysis?,None,3
4,What programs have you previously used for data analysis?,"Python, Excel",1
4,What programs have you previously used for data analysis?,"Python, Excel, GraphPad Prism",1
4,What programs have you previously used for data analysis?,"SAS/SAS JMP, Stata, R",1
4,What programs have you previously used for data analysis?,SPSS,3
4,What programs have you previously used for data analysis?,"SPSS, Excel, GraphPad Prism",3
4,What programs have you previously used for data analysis?,"SPSS, Stata",2
4,What programs have you previously used for data analysis?,"SPSS, Stata, Excel",1
4,What programs have you previously used for data analysis?,Stata,3
4,What programs have you previously used for data analysis?,"Stata, Excel",1
4,What programs have you previously used for data analysis?,"Stata, Excel, GraphPad Prism",1
4,What programs have you previously used for data analysis?,"Stata, GraphPad Prism",1
4,What is your formal position?,PhD student,15
4,What is your formal position?,Postdoc,13
4,What is your formal position?,Researcher,3
4,How often do you currently use: dplyr,Daily,3
4,How often do you currently use: dplyr,Few times a month,5
4,How often do you currently use: dplyr,Few times a week,5
4,How often do you currently use: dplyr,Haven't used R,2
4,How often do you currently use: dplyr,Never,10
4,How often do you currently use: dplyr,Once a month,5
4,How often do you currently use: dplyr,Once a week,1
4,How often do you currently use: GitHub/GitLab and Git,Daily,1
4,How often do you currently use: GitHub/GitLab and Git,Few times a month,4
4,How often do you currently use: GitHub/GitLab and Git,Haven't used R,2
4,How often do you currently use: GitHub/GitLab and Git,Never,20
4,How often do you currently use: GitHub/GitLab and Git,Once a month,3
4,How often do you currently use: GitHub/GitLab and Git,Once a week,1
4,How often do you currently use: pipe (%>%),Daily,3
4,How often do you currently use: pipe (%>%),Few times a month,3
4,How often do you currently use: pipe (%>%),Few times a week,5
4,How often do you currently use: pipe (%>%),Haven't used R,2
4,How often do you currently use: pipe (%>%),Never,13
4,How often do you currently use: pipe (%>%),Once a month,3
4,How often do you currently use: pipe (%>%),Once a week,2
4,How often do you currently use: purrr,Daily,1
4,How often do you currently use: purrr,Few times a month,1
4,How often do you currently use: purrr,Few times a week,1
4,How often do you currently use: purrr,Haven't used R,3
4,How often do you currently use: purrr,Never,23
4,How often do you currently use: purrr,Once a month,1
4,How often do you currently use: purrr,Once a week,1
4,How often do you currently use: R Markdown,Daily,2
4,How often do you currently use: R Markdown,Few times a month,8
4,How often do you currently use: R Markdown,Few times a week,5
4,How often do you currently use: R Markdown,Haven't used R,2
4,How often do you currently use: R Markdown,Never,10
4,How often do you currently use: R Markdown,Once a month,3
4,How often do you currently use: R Markdown,Once a week,1
4,How often do you currently use: tidyr,Daily,3
4,How often do you currently use: tidyr,Few times a month,6
4,How often do you currently use: tidyr,Few times a week,4
4,How often do you currently use: tidyr,Haven't used R,2
4,How often do you currently use: tidyr,Never,12
4,How often do you currently use: tidyr,Once a month,3
4,How often do you currently use: tidyr,Once a week,1
4,How often do you currently use: tidyverse,Daily,4
4,How often do you currently use: tidyverse,Few times a month,7
4,How often do you currently use: tidyverse,Few times a week,4
4,How often do you currently use: tidyverse,Haven't used R,2
4,How often do you currently use: tidyverse,Never,9
4,How often do you currently use: tidyverse,Once a month,5
4,How often do you currently use: vroom/readr,Few times a month,1
4,How often do you currently use: vroom/readr,Few times a week,4
4,How often do you currently use: vroom/readr,Haven't used R,3
4,How often do you currently use: vroom/readr,Never,21
4,How often do you currently use: vroom/readr,Once a month,2
5,Do you accept the conditions laid out in the Code of Conduct?,Yes,30
5,What city do you work in or nearest to?,Aarhus,6
5,What city do you work in or nearest to?,Berlin,1
5,What city do you work in or nearest to?,Copenhagen,15
5,What city do you work in or nearest to?,Gothenburg,1
5,What city do you work in or nearest to?,Odense,7
5,What gender do you identify with?,Man,5
5,What gender do you identify with?,Woman,25
5,Perceived skill/knowledge in data analysis in general?,Beginner,4
5,Perceived skill/knowledge in data analysis in general?,Beginner-Intermediate,15
5,Perceived skill/knowledge in data analysis in general?,Intermediate,9
5,Perceived skill/knowledge in data analysis in general?,Intermediate-Advanced,2
5,Perceived skill/knowledge in formal version control (e.g. Git)?,Beginner,16
5,Perceived skill/knowledge in formal version control (e.g. Git)?,Beginner-Intermediate,13
5,Perceived skill/knowledge in formal version control (e.g. Git)?,Intermediate,1
5,Perceived skill/knowledge in managing data in general?,Beginner,2
5,Perceived skill/knowledge in managing data in general?,Beginner-Intermediate,18
5,Perceived skill/knowledge in managing data in general?,Intermediate,9
5,Perceived skill/knowledge in managing data in general?,Intermediate-Advanced,1
5,Perceived skill/knowledge in programming in general?,Beginner,10
5,Perceived skill/knowledge in programming in general?,Beginner-Intermediate,13
5,Perceived skill/knowledge in programming in general?,Intermediate,7
5,Perceived skill/knowledge in using R?,Beginner,3
5,Perceived skill/knowledge in using R?,Beginner-Intermediate,16
5,Perceived skill/knowledge in using R?,Intermediate,8
5,Perceived skill/knowledge in using R?,Intermediate-Advanced,3
5,Perceived skill/knowledge in writing in or using R Markdown?,Beginner,5
5,Perceived skill/knowledge in writing in or using R Markdown?,Beginner-Intermediate,18
5,Perceived skill/knowledge in writing in or using R Markdown?,Intermediate,5
5,Perceived skill/knowledge in writing in or using R Markdown?,Intermediate-Advanced,2
5,What programs have you previously used for data analysis?,Excel,6
5,What programs have you previously used for data analysis?,"Excel, GraphPad Prism",6
5,What programs have you previously used for data analysis?,"Excel, None",1
5,What programs have you previously used for data analysis?,None,1
5,What programs have you previously used for data analysis?,"Python, Excel, R",1
5,What programs have you previously used for data analysis?,"Python, Excel, R?",1
5,What programs have you previously used for data analysis?,R,1
5,What programs have you previously used for data analysis?,"SAS/SAS JMP, SPSS, GraphPad Prism",1
5,What programs have you previously used for data analysis?,SPSS,1
5,What programs have you previously used for data analysis?,"SPSS, Excel",5
5,What programs have you previously used for data analysis?,"SPSS, Excel, R",1
5,What programs have you previously used for data analysis?,"SPSS, Python, Excel, GraphPad Prism",1
5,What programs have you previously used for data analysis?,Stata,1
5,What programs have you previously used for data analysis?,"Stata,",1
5,What programs have you previously used for data analysis?,"Stata, Excel",1
5,What programs have you previously used for data analysis?,"Stata, Excel, GraphPad Prism",1
5,What is your formal position?,PhD student,25
5,What is your formal position?,Postdoc,2
5,What is your formal position?,Reaserch assistant,1
5,What is your formal position?,Research year student,1
5,What is your formal position?,Research year student (medical student),1
5,How often do you currently use: dplyr,Daily,5
5,How often do you currently use: dplyr,Few times a month,6
5,How often do you currently use: dplyr,Few times a week,6
5,How often do you currently use: dplyr,Haven't used R,1
5,How often do you currently use: dplyr,Never,3
5,How often do you currently use: dplyr,Once a month,6
5,How often do you currently use: dplyr,Once a week,3
5,How often do you currently use: GitHub/GitLab and Git,Few times a month,2
5,How often do you currently use: GitHub/GitLab and Git,Few times a week,1
5,How often do you currently use: GitHub/GitLab and Git,Haven't used R,3
5,How often do you currently use: GitHub/GitLab and Git,Never,15
5,How often do you currently use: GitHub/GitLab and Git,Once a month,7
5,How often do you currently use: GitHub/GitLab and Git,Once a week,2
5,How often do you currently use: pipe (%>%),Daily,3
5,How often do you currently use: pipe (%>%),Few times a month,4
5,How often do you currently use: pipe (%>%),Few times a week,6
5,How often do you currently use: pipe (%>%),Haven't used R,1
5,How often do you currently use: pipe (%>%),Never,5
5,How often do you currently use: pipe (%>%),Once a month,6
5,How often do you currently use: pipe (%>%),Once a week,5
5,How often do you currently use: purrr,Few times a month,3
5,How often do you currently use: purrr,Few times a week,1
5,How often do you currently use: purrr,Haven't used R,3
5,How often do you currently use: purrr,Never,19
5,How often do you currently use: purrr,Once a month,3
5,How often do you currently use: purrr,Once a week,1
5,How often do you currently use: R Markdown,Daily,1
5,How often do you currently use: R Markdown,Few times a month,4
5,How often do you currently use: R Markdown,Few times a week,4
5,How often do you currently use: R Markdown,Haven't used R,1
5,How often do you currently use: R Markdown,Never,5
5,How often do you currently use: R Markdown,Once a month,13
5,How often do you currently use: R Markdown,Once a week,2
5,How often do you currently use: tidyr,Daily,3
5,How often do you currently use: tidyr,Few times a month,5
5,How often do you currently use: tidyr,Few times a week,5
5,How often do you currently use: tidyr,Haven't used R,1
5,How often do you currently use: tidyr,Never,7
5,How often do you currently use: tidyr,Once a month,4
5,How often do you currently use: tidyr,Once a week,5
5,How often do you currently use: tidyverse,Daily,4
5,How often do you currently use: tidyverse,Few times a month,7
5,How often do you currently use: tidyverse,Few times a week,5
5,How often do you currently use: tidyverse,Haven't used R,1
5,How often do you currently use: tidyverse,Never,3
5,How often do you currently use: tidyverse,Once a month,6
5,How often do you currently use: tidyverse,Once a week,4
5,How often do you currently use: vroom/readr,Daily,1
5,How often do you currently use: vroom/readr,Few times a month,3
5,How often do you currently use: vroom/readr,Few times a week,2
5,How often do you currently use: vroom/readr,Haven't used R,2
5,How often do you currently use: vroom/readr,Never,13
5,How often do you currently use: vroom/readr,Once a month,5
5,How often do you currently use: vroom/readr,Once a week,4
6,Do you accept the conditions laid out in the Code of Conduct?,Yes,15
6,What city do you work in or nearest to?,Copenhagen,2
6,What city do you work in or nearest to?,Goteborg,1
6,What city do you work in or nearest to?,Gothenburg,10
6,What city do you work in or nearest to?,Göteborg,2
6,What gender do you identify with?,Genderqueer Transmasculine,1
6,What gender do you identify with?,Man,5
6,What gender do you identify with?,Woman,9
6,Perceived skill/knowledge in data analysis in general?,Beginner,1
6,Perceived skill/knowledge in data analysis in general?,Beginner-Intermediate,6
6,Perceived skill/knowledge in data analysis in general?,Intermediate,4
6,Perceived skill/knowledge in data analysis in general?,Intermediate-Advanced,4
6,Perceived skill/knowledge in formal version control (e.g. Git)?,Beginner,5
6,Perceived skill/knowledge in formal version control (e.g. Git)?,Beginner-Intermediate,9
6,Perceived skill/knowledge in formal version control (e.g. Git)?,Intermediate,1
6,Perceived skill/knowledge in managing data in general?,Beginner,1
6,Perceived skill/knowledge in managing data in general?,Beginner-Intermediate,5
6,Perceived skill/knowledge in managing data in general?,Intermediate,4
6,Perceived skill/knowledge in managing data in general?,Intermediate-Advanced,5
6,Perceived skill/knowledge in programming in general?,Beginner,2
6,Perceived skill/knowledge in programming in general?,Beginner-Intermediate,6
6,Perceived skill/knowledge in programming in general?,Intermediate,4
6,Perceived skill/knowledge in programming in general?,Intermediate-Advanced,3
6,Perceived skill/knowledge in using R?,Beginner,3
6,Perceived skill/knowledge in using R?,Beginner-Intermediate,4
6,Perceived skill/knowledge in using R?,Intermediate,5
6,Perceived skill/knowledge in using R?,Intermediate-Advanced,3
6,Perceived skill/knowledge in writing in or using R Markdown?,Beginner,3
6,Perceived skill/knowledge in writing in or using R Markdown?,Beginner-Intermediate,7
6,Perceived skill/knowledge in writing in or using R Markdown?,Intermediate,4
6,Perceived skill/knowledge in writing in or using R Markdown?,Intermediate-Advanced,1
6,What programs have you previously used for data analysis?,Excel,2
6,What programs have you previously used for data analysis?,"Excel, GraphPad Prism",1
6,What programs have you previously used for data analysis?,"Matlab, Excel",2
6,What programs have you previously used for data analysis?,"Matlab, Excel, GraphPad Prism",1
6,What programs have you previously used for data analysis?,"Matlab, Excel, GraphPad Prism, SigmaPlot, Origin",1
6,What programs have you previously used for data analysis?,"Python, Excel",1
6,What programs have you previously used for data analysis?,"Python, Matlab, Excel",1
6,What programs have you previously used for data analysis?,SPSS,2
6,What programs have you previously used for data analysis?,"SPSS, Excel",2
6,What programs have you previously used for data analysis?,"SPSS, Python, Matlab, Excel",1
6,What programs have you previously used for data analysis?,"SPSS, Stata, Python, Excel",1
6,What is your formal position?,PhD student,12
6,What is your formal position?,Postdoc,3
6,How often do you currently use: dplyr,Daily,1
6,How often do you currently use: dplyr,Few times a month,2
6,How often do you currently use: dplyr,Few times a week,3
6,How often do you currently use: dplyr,Never,1
6,How often do you currently use: dplyr,Once a month,4
6,How often do you currently use: dplyr,Once a week,4
6,How often do you currently use: GitHub/GitLab and Git,Daily,1
6,How often do you currently use: GitHub/GitLab and Git,Few times a month,4
6,How often do you currently use: GitHub/GitLab and Git,Few times a week,3
6,How often do you currently use: GitHub/GitLab and Git,Never,4
6,How often do you currently use: GitHub/GitLab and Git,Once a month,3
6,How often do you currently use: pipe (%>%),Daily,2
6,How often do you currently use: pipe (%>%),Few times a month,5
6,How often do you currently use: pipe (%>%),Few times a week,4
6,How often do you currently use: pipe (%>%),Never,1
6,How often do you currently use: pipe (%>%),Once a month,2
6,How often do you currently use: pipe (%>%),Once a week,1
6,How often do you currently use: purrr,Daily,1
6,How often do you currently use: purrr,Few times a month,3
6,How often do you currently use: purrr,Few times a week,1
6,How often do you currently use: purrr,Never,6
6,How often do you currently use: purrr,Once a month,2
6,How often do you currently use: purrr,Once a week,2
6,How often do you currently use: R Markdown,Daily,2
6,How often do you currently use: R Markdown,Few times a month,2
6,How often do you currently use: R Markdown,Few times a week,3
6,How often do you currently use: R Markdown,Never,3
6,How often do you currently use: R Markdown,Once a month,5
6,How often do you currently use: tidyr,Daily,1
6,How often do you currently use: tidyr,Few times a month,1
6,How often do you currently use: tidyr,Few times a week,3
6,How often do you currently use: tidyr,Never,1
6,How often do you currently use: tidyr,Once a month,5
6,How often do you currently use: tidyr,Once a week,4
6,How often do you currently use: tidyverse,Daily,2
6,How often do you currently use: tidyverse,Few times a month,5
6,How often do you currently use: tidyverse,Few times a week,4
6,How often do you currently use: tidyverse,Never,1
6,How often do you currently use: tidyverse,Once a month,1
6,How often do you currently use: tidyverse,Once a week,2
6,How often do you currently use: vroom/readr,Daily,1
6,How often do you currently use: vroom/readr,Few times a month,4
6,How often do you currently use: vroom/readr,Few times a week,2
6,How often do you currently use: vroom/readr,Never,4
6,How often do you currently use: vroom/readr,Once a month,4
