course_version,questions,responses
1,Please describe the problems you've had.,"I had one problem: Since I have not participated in your introduction course, I went through it myself. There, I could not figure out why chapter 9.6 “Remotes”: Storing your repository online did not work, specifically applying the Code to copy and paste to link and upload an existing Git repository in GitHub."
1,Please describe the problems you've had.,I just did :)
1,Please describe the problems you've had.,Problems were solved! (1. Could not create a project as described [“Scientific Analysis Project using prodigenr” was not available]. 2. R returned an error when trying to make a markdown doc using r3::create_rmarkdown_doc() ).
1,"In your opinion, what could be improved?","As of right now I see no areas for improvement. Very well though out! Also, not expecting too much in the pre-course assignment, due to people's existing workload. This was very feasible."
1,"In your opinion, what could be improved?",Cannot think of anything for now.
1,"In your opinion, what could be improved?",Encouragement to open the survey before beginning
1,"In your opinion, what could be improved?",I could'nt complete the New project part as neither of the descriptions worked
1,"In your opinion, what could be improved?","I was a bit unsure regarding the rtool package, whether it was installed correctly."
1,"In your opinion, what could be improved?","I was unsure whether my output from r3::check_project_setup() looks as it is supposed to.This was my first time installing Git and first there was no Git icon in RStudio, which confused me a lot. It appeared when I created my first project. A comment about this would have been helpful :-)"
1,"In your opinion, what could be improved?","I would personally prefer installing the packages and running commands manually using something similar of a R-script file compared to a companion package (R3). This is as I prefer to know what exactly I am doing. Additionally, we ran some functions from the usethis package, without an explanation off the function. I would have appreciated a short description of the functions before having to run them."
1,"In your opinion, what could be improved?","It's super frustrating for non-computer-experts when program/package installation does not work and consequently takes hours. I had issues with updating the package xfun. I needed to delete it from both my programfiles and user R folder in order to finally install r3. Not sure if anything can be improved here, except maybe allow installation of parts of the r3 package and then be able to go back and sort out the rest later. As it is, the installation is terminated until ALL packages can be correctly installed/updated.Also, I couldn’t make this line of code work: prodigenr::setup_project(~/Desktop/LearnR3)It *does* create the project, but not all the subfolders, which causes problems in the next step. I ended up deleting the folder on the desktop and creating the project manually."
1,"In your opinion, what could be improved?",Maybe more helping information such as 'If it does not work try to restart the programme' or 'delete the project and try again'. I spent a lot of time trying to solve errors and the solutions were very simple.
1,"In your opinion, what could be improved?",Maybe some more concrete examples about how to use version control in our daily work
1,"In your opinion, what could be improved?",Maybe to soon to say now :)
1,"In your opinion, what could be improved?","Not easy to figure out what the problem is when getting errors in R. The webpage for the intro course is very similar to the one for this course, and I got them mixed up several times as the webpage links to the page for the first course."
1,"In your opinion, what could be improved?","Not your side but in general, IT services of all the universities should be improved :). It took one hour for me to complete this easy and clear instructions because I needed to enter my password in every step."
1,"In your opinion, what could be improved?",Nothing
1,"In your opinion, what could be improved?",Nothing that I can think of right now.
1,"In your opinion, what could be improved?",Nothing.
1,"In your opinion, what could be improved?",Pictures of kittens.
1,"In your opinion, what could be improved?","Text distribution could be improved. For example, I created a n RStudio project form the start to later realize that I was expected to create it by specific code typing so that the rest of the functions could work appropriately."
1,"In your opinion, what could be improved?","Think it all worked fine, one small think that I couldn't get to work when I went back and practiced a few things from the the intro course was: when I go back to read the Version control with Git I couldn't find the page you have on your screenshot for figure 8.8 in my Github account - especially I was curious on finding the ...or push an existing repository from the command line code to put into the R-studio terminal. I assume that when we have created a new R project (LearnR3) this can later be linked with Github with use of that code from Github - I just couldn't seem to find it. But I guess we might do this together in the intermediate course."
1,"In your opinion, what could be improved?",no issues.
1,"In your opinion, what worked well?",All the instructions detailed in step by step worked well.
1,"In your opinion, what worked well?",Always very well-described. Thanks!
1,"In your opinion, what worked well?",Everything was written very clearly overall.
1,"In your opinion, what worked well?",Everything worked well!
1,"In your opinion, what worked well?",Good to make sure the different elements are updated and ready for the course
1,"In your opinion, what worked well?",Having this pre-course material to begin with. It was great to have everyone set up what is needed for the course beforehand.
1,"In your opinion, what worked well?",I had most of it up and running already. But it seemed like a good way to get people up to date with stuff.
1,"In your opinion, what worked well?",Installation instructions are easy to follow.
1,"In your opinion, what worked well?",It all ran smoothly
1,"In your opinion, what worked well?",It was easy enough to set up the packages and project
1,"In your opinion, what worked well?",It was great that you referred us back to the previous course in case we hav'nt completed this.
1,"In your opinion, what worked well?",It worked well. Fair to refer to the material for the introduction course.
1,"In your opinion, what worked well?",The coding examples make it very easy to follow
1,"In your opinion, what worked well?",The instructions in the pre-course tasks materials were clear and easy to follow.
1,"In your opinion, what worked well?",The step-by-step instructions
1,"In your opinion, what worked well?",The steps to follow for Pre-course tasks are clear
1,"In your opinion, what worked well?",The thorough introductory material and access to material from the previous course.
1,"In your opinion, what worked well?","Think its a really good idea with the check functions, to see if our current versions, installations etc. actually worked correctly. Works fine with linking back to the intro course description. Its a good way to go back and look at stuff we have already worked with to remind yourself on how the things worked."
1,"In your opinion, what worked well?",Your instructions were very clear and understandable.
1,"In your opinion, what worked well?","specific, short tasks to be done."
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Better management of projects using R
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Better structure in my data analyses so that in the future I can clearly see, what I have done and why."
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Data cleaning and management
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Get new version control habits + get more experience with using R
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Git and good practice in the context of reproducible and open science
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Handle more types of data. Version control. Sharing of code. Organizing and managing data in teams.
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I am looking forward to get accustomed to version control, use of Git and improving my ways of organizing my projects etc."
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I expect a continuum of the R intro course with deeper knowledge of structuring a data analysis project in real life, ie. handling, cleaning and merging multiple data files to be prepared for the statistical analysis."
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I expect to learn more about manipulating data and building functions as well as documenting using R markdown and Git. I would like to be able to do all data manipulation in R instead of SAS and make more reproducible programs using R projects and R markdown (and Git).
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I expect to learn more about reproducible data analysis in R, better ways for data processing and how to use functions."
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I expect to learn tools and good practice of data cleaning and data management. I would like to be able to take on smaller tasks of data management without being insecure about potential mistakes.
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I really look forward to learn functions. I would like to be able to work more reproducibly.
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would like to have a more structured workflow when i am working with R and to have some tools for reproducibility
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Mostly learn tidyverse package and using git to keep version control
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Structure my data, version control, being more effective."
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Structured approach to R
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"To be more efficient, and learn to manege my projects, before I start using R-studio for my next data analysis"
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,To be more familiar with R so that I can work on it independently and have a nice structure for data analysis.
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,To improve my style to make my codes more understandable and reproducible. Also improve on functions since I found this hard in an introductory course
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"To work more efficient i R. Be more systematic with scripts, storing etc. Learn to create functions."
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"better cleaning of data, codes that I actually understand when I return to them in 6 months"
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"data management, processing and cleaning of analysis project"
2,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,manage data in a more organized way and learn how to do loops and funstions
2,Please describe the problems you've had.,"About versions of R and R-studio, see answer two pages back. also, I had a hard time fogure out how to use GIT, and it is still blurry how to use it in reality"
2,Please describe the problems you've had.,"I can not figure out why, but sometimes the Git symbol is not present i RStudio"
2,Please describe the problems you've had.,"I could not update the R studio to the newest version as required, but managed the pre-course tasks without it. I will have it updated by beginning of the course."
2,Please describe the problems you've had.,"I couldn't make the file lesson.Rmd. Got the following message and it didn't help restarting.> r3::create_rmarkdown_doc()Error: Not sure why, but the Rmd file was not created. Try restarting R and doing it again?In addition: Warning messages:1: In file.copy(from = f, to = to, overwrite = FALSE, recursive = TRUE) :  'rekursive' vil blive ignoreret da 'to' ikke er en enkelt eksisterende mappe2: In file.rename(file.path(dirname(file), skeleton.Rmd), file) :  cannot rename file 'C:/Users/PROE0031/Desktop/LearnR3/doc/skeleton.Rmd' to 'C:/Users/PROE0031/Desktop/LearnR3/doc/lesson.Rmd', reason 'The system cannot find the path specified'>"
2,Please describe the problems you've had.,I had problems installing Git and starting r3.
2,Please describe the problems you've had.,"I tried to reinstall Git but I could not so i just updated the version I have: now everything is solved, I hope"
2,Please describe the problems you've had.,"Problems with the version of R studio and IT department (regionH),"
2,"In your opinion, what could be improved?",-
2,"In your opinion, what could be improved?",-
2,"In your opinion, what could be improved?","Be sure that everybody long time before the course is advised to get new versions of R and R-studio. In Region H it takes weeks or months to get permissions. I had to download it to my private computer. I was put on the course from the waiting list, so I did not have a lot of time to prepare with new versions."
2,"In your opinion, what could be improved?",Can't think of anything at the moment
2,"In your opinion, what could be improved?","Difficult to assess how much of the tasks had been done, because of build-in links to rather long texts. Including all material in the same page/including a table of contents with estimated time for reading of each section, may have helped."
2,"In your opinion, what could be improved?",Having a go/no-go example of the functions you have to call to see if the project is set up correctly. (fx. maybe an example of what the expected output is when running r3::check_setup()). I had to update certain packages before getting the a-OK-checklist.
2,"In your opinion, what could be improved?","How to pull and push to github, I cannot push those buttons so I need to figure it out myself. It is just mentioned in the intro precourse material, but there is no guide"
2,"In your opinion, what could be improved?",I think it is already well organized
2,"In your opinion, what could be improved?","I think it's quite clear, I don't have any problems following the instructions."
2,"In your opinion, what could be improved?",It is just perfect for and pre-task assignment.
2,"In your opinion, what could be improved?",Maybe little bit more detailed explanation how to install Git and launch r3 in the beginning.
2,"In your opinion, what could be improved?",Maybe more pictures of each step.
2,"In your opinion, what could be improved?","Maybe some overall introduction/insight to why this is important/what is actually done throughout the steps. This may be more clear if I had attended the previous course, but I completed the tasks as described but am I bit perplexed of what I actually did."
2,"In your opinion, what could be improved?",More sub-headings on the side bar would make it more easy to navigate
2,"In your opinion, what could be improved?",NA
2,"In your opinion, what could be improved?",No idea
2,"In your opinion, what could be improved?","Nothing.  Make these R course mandatory for SUND PhD students, please :)"
2,"In your opinion, what could be improved?","On the top of my head, nothing."
2,"In your opinion, what could be improved?","Perhaps the context from the beginner course could be integrated so it was not needed to jump to that, but really it was fine the way it is"
2,"In your opinion, what could be improved?","Quite a lot of thorough reading, which could be shortened in some cases"
2,"In your opinion, what could be improved?",in my opinion very not much. Spetially because the begginer course is available online as reference
2,"In your opinion, what could be improved?",instructions on installing Git for windows. You can make a video as it is very hard to install it
2,"In your opinion, what could be improved?",there is a lot of clicking back and forth through the material for this course and the introductive course
2,"In your opinion, what worked well?",1. having pre-course tasks in general is good (we come prepared). 2. Good descriptions and links to previous course material.
2,"In your opinion, what worked well?",Clear description on what to do and links to nice descriptions if something is new.
2,"In your opinion, what worked well?","Clear instructions, easy to navigate with links to the beginner course."
2,"In your opinion, what worked well?",Clear instructions. Nothing to comment on :)
2,"In your opinion, what worked well?",Everything
2,"In your opinion, what worked well?","Everything! All steps are very well-explained. As an intermediate R user who learned mostly from trial-and-error, this is the guide I was lacking when I introduced myself to R. I especially like the section on what to do if something doesn't work/how not to panic + explanation of why using formalized version control is essential. Language is gentle and doesn't talk down to the inexperienced user."
2,"In your opinion, what worked well?",Good descriptions!
2,"In your opinion, what worked well?","Great instructions, easy to follow, also good content for a pre-course (setting up the project and familiarizing with data)"
2,"In your opinion, what worked well?",Instruction were clear
2,"In your opinion, what worked well?",It is a very detailed and well-written guide.
2,"In your opinion, what worked well?",It was nice to see the way to import at arrange data.
2,"In your opinion, what worked well?",It worked well
2,"In your opinion, what worked well?",Really good  instructions on what to do. It works fine with the links to the beginners course
2,"In your opinion, what worked well?",The code along
2,"In your opinion, what worked well?",The different chapters were well-written and easy to follow.
2,"In your opinion, what worked well?",The explanations were good and simple
2,"In your opinion, what worked well?",The guide was very easy to follow with good explanations and references
2,"In your opinion, what worked well?","The links to the introductory course, since I needed to go over the git part."
2,"In your opinion, what worked well?",The precourse is very well explained
2,"In your opinion, what worked well?",The structure and functions worked well within RStudio. I really like he explanations within the functions and reference to reading material that describes why certain aspects is important.
2,"In your opinion, what worked well?",Very nice material! I learned a lot. Really good that you link to relevant parts of beginner course
2,"In your opinion, what worked well?",Very well-prepared introduction material and easy to implement.
2,"In your opinion, what worked well?",Yes
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Better understanding of the initial process going into to analysing big data sets
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Build on what I already learned in the beginners course. I would like to open the door of sharing/working on the same projects with others.
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Datamanagement, more skills in using Rmarkdown, Git"
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Develop my R skills to use R more systematically
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I expect to become even more comfortable with RStudio and managing data. Hopefully comfortable enough to attack my own data after the course ends. Importing/wrangling/cleaning data has proved to be a hard and lengthy task, when it's not these learning dataset."
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I expect to learn how to be more effective and reproducible in my coding including learning using both version control and R projects in a better way. Afterwards I will start over again on my analyzation of my current data and implement my new habits in this.
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I hope to be able to organize and document my data + analysis in a reproducible manner, which in the end will do: more efficient work, ensure correct documentation and analysis and easy pass-on to colleges."
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I hope to enhance my R  skills after having taken the beginners course in June this year, so that I am confident in applying them in my research"
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would expect to learn a more systematic way of working with R and use of git.
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I would like to improve my usage of R to analyze large datasets, with few samples and a lot of variables. I am developing a R pipeline analysis for specific measurements that I run regularly and I would like to have it in a R-markdwon to have a report to send with the results of the analysis"
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would like to learn more about how to use R so that I can start to analyze my own data using R
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Improve my skills using R
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Learn and demonstrate what an open and reproducible data processing and analysis workflow looks like.    Learn and apply some fundamental concepts, techniques, and skills needed for processing and managing data in a reproducible and well-documented way.    Learn where to go to get help and to continue learning modern data science and analysis skills."
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Learn appropriate data management in R
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Learn basic principles in reproducible data analysis and in generel increase my skills within this. Also to learn new functionalities in R including Git.
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Learn how to use R (intermediate level), data management in R, descriptive analysis"
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,To use functions and analyse my own data
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"With this course, we aim to begin addressing this gap. Using a highly practical approach that revolves around code-along sessions (instructor and learner coding together), hands-on exercises, and group work, participants of the course will be able to:Learn and demonstrate what an open and reproducible data processing and analysis workflow looks like.Learn and apply some fundamental concepts, techniques, and skills needed for processing and managing data in a reproducible and well-documented way.Learn where to go to get help and to continue learning modern data science and analysis skills.The course will enable participants to answer questions such as:What does a modern data analysis setup and workflow look like?How can I create pipelines that get, process, and clean my data quickly and that works regardless of whether there is one data file or hundreds (i.e. it scales well)?How can I write code that is more reproducible, readable, and easily re-used for my future self and for my collaborators and colleagues?By the end of the course, participants will: have improved their competency in processing and wrangling datasets; have improved their proficiency in using the R statistical computing language; know how to write re-usable and well-documented code; and know how to make modern and reproducible data analysis projects."
3,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,be able to use R more sufficiantly - also with large dataset and how to organise then/make the data fit for analysing
3,Please describe the problems you've had.,"> usethis::use_r(functions, open = FALSE)✓ Setting active project to '/Users/hxv222/Desktop/LearnR3'• Edit 'R/functions.R'• Call `use_test()` to create a matching test file> r3::create_rmarkdown_doc()✓ Created `lesson.Rmd` file in the `doc/` folder.> usethis::use_data_raw(mmash)✓ Adding '^data-raw$' to '.Rbuildignore'✓ Writing 'data-raw/mmash.R'• Modify 'data-raw/mmash.R'• Finish the data preparation script in 'data-raw/mmash.R'• Use `usethis::use_data()` to add prepared data to packageAll the •  were red dots in my code output so I am not sure everything worked the way that it should have"
3,Please describe the problems you've had.,Downloading the data. But it worked out in the end :-) I'm also not sure the folders in my data-raw/ looks right?
3,Please describe the problems you've had.,Fejl: [ENOENT] Failed to move 'C:/Users/au606536/Desktop/LearnR3/data-raw/DataPaper'to 'C:/Users/au606536/Desktop/LearnR3/data-raw/mmash/DataPaper': no such file or directory
3,Please describe the problems you've had.,Problems with setting up the LearnR3 project in a folder on my H-drive. I could only direct the project to my desktop (which will be deleted in few weeks as I change my computer)
3,Please describe the problems you've had.,"Technical issues when downloaded R packages. They didn't run the first time, but the next time it worked. I might have skipped a step or something."
3,Please describe the problems you've had.,The last two steps did not work - but I will try to figure it out
3,"In your opinion, what could be improved?",-
3,"In your opinion, what could be improved?",?
3,"In your opinion, what could be improved?","Even though it is nice with all the information, it was also a bit confusing at times because I was to leave the page, enter a new one, go back to the first and then enter a new one again."
3,"In your opinion, what could be improved?",Everything was fine
3,"In your opinion, what could be improved?","Fejl: [ENOENT] Failed to move 'C:/Users/au606536/Desktop/LearnR3/data-raw/DataPaper'to 'C:/Users/au606536/Desktop/LearnR3/data-raw/mmash/DataPaper': no such file or directoryI got this error several times, however, i think i've done everythring right, but i am not sure"
3,"In your opinion, what could be improved?",I do not have any comments for this
3,"In your opinion, what could be improved?",I had a lot of trouble downloading the dataset. A timeout of 60 seconds was reached and I got a truncated version of the data. But I'm not sure it something that you can improve on.
3,"In your opinion, what could be improved?","I had some troubles getting the GIT button in the upper panel but a restart helped so the code was correct, I think."
3,"In your opinion, what could be improved?",I have no comments at this moment :)
3,"In your opinion, what could be improved?","It should be made clear in the email (not just after clicking on the link) how much time is required for the pre-course tasks. Furthermore, the potential difficulties of downloading Git and the potential need for IT support should be made clear in the email. This was a big surprise and it would have been too late for me to get IT tech support to download Git, as it was I found a work around. The process of downloading Git could in general have been clearer."
3,"In your opinion, what could be improved?",Maybe an email or phone number to contact if some precourse tasks are challenging/struggling. One have to fill in the whole survey to write for help (even if you haven't finished the tasks). Otherwise all good :)
3,"In your opinion, what could be improved?",Maybe more visual material (videos - link to youtybe etc.)
3,"In your opinion, what could be improved?",No feedback here
3,"In your opinion, what could be improved?","Perhaps you could let us know in the email that it will take quite some time, so we can set aside that time ;) (Or maybe you did and I didn't read it!)"
3,"In your opinion, what could be improved?","So far, I only spotted one spelling mistake :) (And now I cannot find it again)"
3,"In your opinion, what could be improved?","The branched nature (and similar Markdown layout) of the recommended documents, makes it easy to be side tracked and spent time on unnecessary steps. I personally spent time looking into Git clients, which I now suspect is not strictly needed."
3,"In your opinion, what could be improved?","for the pre course material, I do not think there is need to do more."
3,"In your opinion, what could be improved?",make it possible to upload a screenshot of some error code. I am not sure all of the code delivered the right output
3,"In your opinion, what could be improved?",nothing
3,"In your opinion, what worked well?","A good intruduction to the course, Git and R. Reading and doing task that at the same time include the steps for data processing sued in the course"
3,"In your opinion, what worked well?",All the information you need was giving
3,"In your opinion, what worked well?",I actually think all worked really well
3,"In your opinion, what worked well?","I have had some trouble, but I will go back and try to figure out the problem when I have time this weekend"
3,"In your opinion, what worked well?","I never used the R packages for data download, file management. It worked well for me."
3,"In your opinion, what worked well?",In the end where the whole code is listed all together is nice - good to have the overview
3,"In your opinion, what worked well?",It was very clear
3,"In your opinion, what worked well?","It worked well, but I decided to briefly go through the whole beginner curriculum"
3,"In your opinion, what worked well?",It works well that the codes are describe in layman terms and that the important links to the previous course is there.
3,"In your opinion, what worked well?",It works well with the assignment rather than just read
3,"In your opinion, what worked well?","The descriptions are very thorough and easy to follow, I didn´t run into any strange errors."
3,"In your opinion, what worked well?",The guidelines
3,"In your opinion, what worked well?",The instructions are very thorough and easy to follow
3,"In your opinion, what worked well?",The instructions for installing the data set
3,"In your opinion, what worked well?",The instructions working through the pre-course tasks were mostly very clear
3,"In your opinion, what worked well?",The text was very easy to read. Very good description of the codes you run and why you do it.
3,"In your opinion, what worked well?","Very good. I used more time than the 3-5hrs (more like two days, I was struggling with a code not working). This may be because I am still at the beginner level, but very useful to do the exercises at home.Very good with the links to the text from beginners course."
3,"In your opinion, what worked well?",Very thoroughly explained.
3,"In your opinion, what worked well?",nice to do something before - to be more prepared
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Be more comfortable using R for various task, in a open, skillful, reproducible, and organized way"
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Become more efficient in my data management and analysis in R
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Clean and organize dataset in a reproducible way and would like to apply this to my own project.
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,East and reproducible datamanagement/data cleaning
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I expect the intermediate course to be very applied, so that I am able to upload my own datasets into R and start to use R for my statistical analysis"
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I expect to be able to handle large data sets, effectively making them accesible to analysis. Also to improve my R skills in general and get better coding habits"
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I expect to get a more lean workflow in R and get good habits in data wrangling/tidying.
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I expect to improve my R knowledge and become better in organizing my projects with R
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I expect to learn how to import and analyze the scientific data in R.
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I expect to learn the principles of how to use R, making me able to do perform data management of my own raw data in R."
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I expect to learn the required fundamental concepts, techniques, and skills needed for processing and managing data in a reproducible and well-documented way.After completing the course, I would be able to create pipelines that get, process, and clean my data efficiently, write reproducible codes for future use to myself and my collaborators and colleagues."
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I expect to learn the tools that can provide me some skills to analyse my own data.
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I hope to get a better understanding of how to organize my data analysis, so it will be easier for me to go back and know, what I have done and why. I would like to be able to set up good markdowns for the data analysis used for publications."
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I hope to learn enough R to be comfortable to use it in my own research
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I want to improve my data handling/processing skills with R, so I can start my analysis."
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would like to be better at using R markdown and improve my documentation/reproducibility when using R. I would also like to be more fluent in coding.
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would like to become more familiar with the different tools and packages in R in processing and managing data
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would like to learn about how to use R and eventually be able to analyse omics data-set (specifically RNA-seq as my first challenge)
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would like to learn how to write my own functions and write code in a more efficient way
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I would like to understand how to write functions and use that afterwards for my daily data analysis, because I am tired of repeating codes. Moreover, I would like to use R projects and learn how to better document my data processing, so other colleages and me (after some time of not working on this project) can easier understand my programmes. Moreover, I would like to learn how to enhance my data processing and also use it for other datasets."
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I would like to use R for all my data management, statistical analyses and making figures."
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I would want to be  more confident in using R, trouble shoot the errors and to do more data management using R. This will enable me to shift from other softwares to R."
4,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,More confidence when doing analyses in R + how to write functions
