questions,responses,count
What gender do you identify with?,Woman,26
How often do you currently use: [dplyr],Daily,4
How often do you currently use: [dplyr],Few times a month,9
How often do you currently use: [dplyr],Few times a week,5
How often do you currently use: [dplyr],Haven't used R,3
How often do you currently use: [dplyr],Never,4
How often do you currently use: [dplyr],Once a month,8
How often do you currently use: [dplyr],Once a week,1
How often do you currently use: [tidyr],Daily,3
How often do you currently use: [tidyr],Few times a month,10
How often do you currently use: [tidyr],Few times a week,4
How often do you currently use: [tidyr],Haven't used R,3
How often do you currently use: [tidyr],Never,5
How often do you currently use: [tidyr],Once a month,7
How often do you currently use: [tidyr],Once a week,2
How often do you currently use: [pipe (%>%)],Daily,5
How often do you currently use: [pipe (%>%)],Few times a month,5
How often do you currently use: [pipe (%>%)],Few times a week,4
How often do you currently use: [pipe (%>%)],Haven't used R,3
How often do you currently use: [pipe (%>%)],Never,5
How often do you currently use: [pipe (%>%)],Once a month,11
How often do you currently use: [pipe (%>%)],Once a week,1
How often do you currently use: [GitHub/GitLab and Git],Daily,2
How often do you currently use: [GitHub/GitLab and Git],Few times a month,2
How often do you currently use: [GitHub/GitLab and Git],Haven't used R,3
How often do you currently use: [GitHub/GitLab and Git],Never,20
How often do you currently use: [GitHub/GitLab and Git],Once a month,7
How often do you currently use: [R Markdown],Daily,1
How often do you currently use: [R Markdown],Few times a month,8
How often do you currently use: [R Markdown],Few times a week,1
How often do you currently use: [R Markdown],Haven't used R,3
How often do you currently use: [R Markdown],Never,11
How often do you currently use: [R Markdown],Once a month,8
How often do you currently use: [R Markdown],Once a week,2
How often do you currently use: [purrr],Few times a month,2
How often do you currently use: [purrr],Few times a week,2
How often do you currently use: [purrr],Haven't used R,3
How often do you currently use: [purrr],Never,24
How often do you currently use: [purrr],Once a month,3
How often do you currently use: [tidyverse],Daily,4
How often do you currently use: [tidyverse],Few times a month,10
How often do you currently use: [tidyverse],Few times a week,5
How often do you currently use: [tidyverse],Haven't used R,3
How often do you currently use: [tidyverse],Never,4
How often do you currently use: [tidyverse],Once a month,7
How often do you currently use: [tidyverse],Once a week,1
How often do you currently use: [vroom/readr],Daily,1
How often do you currently use: [vroom/readr],Few times a month,3
How often do you currently use: [vroom/readr],Few times a week,3
How often do you currently use: [vroom/readr],Haven't used R,3
How often do you currently use: [vroom/readr],Never,16
How often do you currently use: [vroom/readr],Once a month,7
How often do you currently use: [vroom/readr],Once a week,1
