question,response
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I want to get better at organizing my projects, so that they become publication ready in no time : )"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I would like to see a proper stat/analysis pipeline that is a bit more complex/close to what I will be doing in the near future
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I'm excited to learn more about reproducibility and tools to ensure this that I can easily implement into my daily analyses/pipelines as well as setting up more automated pipelines and expanding my skillset in this area, learning for example how to run multiple analyses at the same time and become more proficient whilst ensuring good data science practices."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Improve my use of R. I wanna be able to share my code that I use for publications and I wanna share my code with other people from the lab.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Skill-up my R knowledge towards publication-ready, shareable code structuring and pipelines/worklows"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Writing code that is easily readable, reproducible, consistent, and almost automated. I would like to be able to use this structure learned in this course across different projects in the future, making collaboration easier and more time efficient."
"In your opinion, what worked well?",Easy and well-structured. The amount of work is fitting.
"In your opinion, what worked well?",Easy to follow the steps
"In your opinion, what worked well?","I like how every step is described thoroughly on the workshop website. And in case we need to read more or would like to recap some topics, there are links to more detailed descriptions."
"In your opinion, what worked well?",I liked that there was a lot of copy-paste to run over the stuff that was covered in the earlier workshops.
"In your opinion, what worked well?","I think it was well structured in general, kudos to that!"
"In your opinion, what worked well?","I was very pleased with the expressive learning goals. I was worried about attending the advanced course prior to the intermediate, but I am convinced i will manage after these introductory tasks."
"In your opinion, what worked well?","In my case, everything worked very well. I think the additional information you provide is very good, so that all participants in this course are on the same level. Of course, the materials provided are often very reading-intensive, but I don't mind that.  I heard from my colleague that there were errors in the code you provided, but perhaps you have already fixed them, because everything works perfectly. I especially liked the section 7 ""Code of conduct""."
"In your opinion, what worked well?",It is great to have the step by step approach that you can follow really thoroughly when needed but can also skip over rather quickly when tasks are familiar or less relevant (e.g. just copy code to download data)
"In your opinion, what worked well?","It is really nice to be ""forced"" to go through the material beforehand just to have an excuse to use your time in learning before the course. I go a little bit frustrated installing and updating software but i understand is part of the process. So very good to make compulsory and to include this survery at the end."
"In your opinion, what worked well?",It is very well explained and it is easy to follow.
"In your opinion, what worked well?","It went very smoothly for me actually, and was able to complete the tasks in under 2 hours :)"
"In your opinion, what worked well?",Most of it - It is very detailed as always which is nice :)
"In your opinion, what worked well?",Most of it worked well for me
"In your opinion, what worked well?","Super nice, the comments are comprehensive and the guide is elaborate and helpful."
"In your opinion, what worked well?",The step by step descriptions so that you can copy /paste and also see what you should get of results. I also like that I feel prepared for the course.
"In your opinion, what worked well?",The website was super well organized and works really well! The communication has also been very clear.
"In your opinion, what worked well?",Very thorough and easy-to-follow tasks.
"In your opinion, what worked well?","all worked well and was easy to follow. Only one library was missing from the downloader+parsing script, but it was easy to spot"
"In your opinion, what worked well?",i think it was nice that most errors had a solution defined directly in the material
"In your opinion, what could be improved?","A small thing, but it's a bit counter intuitive to create a new document as listen in chapter 12 material just to delete the code immediately."
"In your opinion, what could be improved?","At the moment, I can't think of anything that could be improved."
"In your opinion, what could be improved?",Can't think of anything right now
"In your opinion, what could be improved?",Double-check library imports
"In your opinion, what could be improved?",I can't think of anything. Was clear and nice.
"In your opinion, what could be improved?","I don't know exactly what happened (should have saved my log!) but something with the order of the tasks did not work for me. I have had github set up previously to I did not need to make a new one, so I skipped step 4 (which was not very clear since there was no link or anything). But since I have been working on Statistics Denmark's servers I have not updated my personal access token. Seemingly that caused problems for step 5 (I think? I kept getting an error even after restarting several times). I initally skipped step 6 because I had set up git for previous courses. But then the check_setup showed me that I had ""bad github credentials"". I did not find a fix on the course page, but eventually ChatGPT helped me fix it. Like I said it was due to an expired personal access token. After fixing the git+github configuration I was able to run step 5 without problems."
"In your opinion, what could be improved?","I followed the instructions carefully, and still I had to install and load 2 or 3 packages (stringr for e.g.) by myself because they we not mentioned in the instructions and caused errors."
"In your opinion, what could be improved?",I had a hard time getting r3 to work but switching from RStudio to the RGui as administrator worked. (note; I have a work laptop)
"In your opinion, what could be improved?",I had some trouble installing the r3 package and found out that the issue had to do with setting up Git - which was described in the next step. This might be because I don't complety  meet the criteria related to previous R experience.
"In your opinion, what could be improved?",I have no suggestions
"In your opinion, what could be improved?","I personally like to have PDF files so that I can highlight and take notes, so if it would also be possible to receive the R coursework in PDF format, that would be quite nice."
"In your opinion, what could be improved?",I still had some trouble with running the rostools/r3 and had to ask chat gtp to help me. So I had to install some remote things otherwise the security settings were blocking me.
"In your opinion, what could be improved?","I think there should be a section on how to update r, rstudio, git etc. Many of us have participated in earlier workshops, and will have most of the programs already."
"In your opinion, what could be improved?","Perhaps I would suggest installing and loading all the necessary packages already in section 9, since  section 12 requires others that were not previously loaded."
"In your opinion, what could be improved?","So far all sections and materials were very clear and easy to follow, so nothing at this point for me!"
"In your opinion, what could be improved?",There is a lot of jumping back and front between the overview and pre-workshop
"In your opinion, what could be improved?","This is maybe asking for too much, but for some of the more theoretical section maybe having a video of a real person explaining the things would have been really nice."
"In your opinion, what could be improved?","To install the required packages, the correct version of Rtools needs to be installed. E.g., I have recently updated my R to 4.5.0 but had Rtools44 installed from previously. On the website, the 4.4 version is marked as ""(R-release)"", which is the version we are asked to install. However, the 4.5 version is needed when working with R 4.5. A small note regarding matching of R version to Rtools version could be helpful to avoid confusion."
"In your opinion, what could be improved?","When having an error with GIT, I don't really know how to fix it. However, I can see that I can get this sorted in the beginning of the course. I think it is a minor thing."
Please describe the problems you've had.,Described in step 4: I had to setup Git to be able to install the r3 package.
Please describe the problems you've had.,Going around the security settings of the university
Please describe the problems you've had.,"I could run the Pre-workout task but get this error> r3::install_packages_advanced()✔ Loading metadata database ... doneError: ! error in pak subprocessCaused by error: ! Could not solve package dependencies:* tidyverse: dependency conflict* broom: dependency conflict* cli: dependency conflict* commonmark: dependency conflict* crayon: dependency conflict* desc: dependency conflict* downlit: dependency conflict* dplyr: dependency conflict* fs: dependency conflict* ggplot2: dependency conflict* here: dependency conflict* igraph: dependency conflict* markdown: dependency conflict* pak: dependency conflict* prodigenr: dependency conflict* purrr: dependency conflict* quarto: dependency conflict* samwise: Can't find package called samwise.* rlang: dependency conflict* readr: dependency conflict* readxl: dependency conflict* snakecase: dependency conflict* stringr: dependency conflict* styler: dependency conflict* targets: dependency conflict* tidyr: dependency conflict* tidyselect: dependency conflict* xml2: dependency conflict* gert: dependency conflict* gitcreds: dependency conflict* rmarkdown: dependency conflict* tarchetypes: dependency conflict* usethis: dependency conflictType .Last.error to see the more details.After typing .Last.error> .Last.error<callr_error/rlib_error_3_0/rlib_error/error>Error: ! error in pak subprocessCaused by error: ! Could not solve package dependencies:* tidyverse: dependency conflict* broom: dependency conflict* cli: dependency conflict* commonmark: dependency conflict* crayon: dependency conflict* desc: dependency conflict* downlit: dependency conflict* dplyr: dependency conflict* fs: dependency conflict* ggplot2: dependency conflict* here: dependency conflict* igraph: dependency conflict* markdown: dependency conflict* pak: dependency conflict* prodigenr: dependency conflict* purrr: dependency conflict* quarto: dependency conflict* samwise: Can't find package called samwise.* rlang: dependency conflict* readr: dependency conflict* readxl: dependency conflict* snakecase: dependency conflict* stringr: dependency conflict* styler: dependency conflict* targets: dependency conflict* tidyr: dependency conflict* tidyselect: dependency conflict* xml2: dependency conflict* gert: dependency conflict* gitcreds: dependency conflict* rmarkdown: dependency conflict* tarchetypes: dependency conflict* usethis: dependency conflict---Backtrace:1. r3::install_packages_advanced()2. r3:::install_packages_generic(url = url_gh_raw_file(""rostools/r-cubed-advanced"", …3. pak::pkg_install(needed_packages, ask = FALSE, upgrade = TRUE)4. pak:::remote(function(...) get(""pkg_install_make_plan"", asNamespace(""pak""))(...), …5. err$throw(res$error)---Subprocess backtrace:1. base::withCallingHandlers(cli_message = function(msg) { …2. get(""pkg_install_make_plan"", asNamespace(""pak""))(...)3. prop$stop_for_solution_error()4. private$plan$stop_for_solve_error()5. pkgdepends:::pkgplan_stop_for_solve_error(self, private)6. base::throw(new_error(""Could not solve package dependencies:\n"", msg, …7. | base::signalCondition(cond)8. global (function (e) …"
Please describe the problems you've had.,I had a hard time getting r3 to work but switching from RStudio to the RGui as administrator worked. (note; I have a work laptop)
Please describe the problems you've had.,I had trobles in two steps (fixed them both): -I could not install the required pakages (step 2 in section 9) before i updated my git credentials. Consider putting the git-step before this step. -In the nmr-mics script i could not download the datasets. this was fixed with curl::curl_download
Please describe the problems you've had.,"I have updated r studio, but when i check the version i get this: Checking R version:✔ Your R is at the latest version of 4.5.2!Checking RStudio version:Error in `gh::gh()`:! GitHub API error (401): Bad credentialsℹ Read more at <https://docs.github.com/rest>Run `rlang::last_trace()` to see where the error occurred."
Please describe the problems you've had.,"The R3 setup. There is something with Rstudio/and or GIT, but I can't really figure out what went wrong. I have typed it into the questionnaire."
Please describe the problems you've had.,The instructions were not clear to me how to add the Git button to my R Studio IED. I figured it out but had to turn to some external resources.
Please describe the problems you've had.,"Two problems. First problem described in feedback (because I felt the instructions could be more clear). Second problem is just that I am not able to update to latest R version due to organisational restrictions. Instructions say that this is OK, but it does show up as an error on the check_setup"
