course_version,questions,responses
1,"In your opinion, what could be improved?",Nil
1,"In your opinion, what could be improved?",Not something right now
1,"In your opinion, what could be improved?",Nothing
1,"In your opinion, what could be improved?",Nothing
1,"In your opinion, what could be improved?",Nothing really
1,"In your opinion, what could be improved?","Nothing really - for me all was fine, and little bumps in the road was due to my own mistakes/misjudgements."
1,"In your opinion, what could be improved?","Nothing really, for me everything was very clear."
1,"In your opinion, what could be improved?",Nothing that comes to mind!
1,"In your opinion, what could be improved?",Nothing to comment.
1,"In your opinion, what could be improved?","Nothing, I'm very satisfied"
1,"In your opinion, what could be improved?",Nothing!
1,"In your opinion, what could be improved?","Nothing. One comment, I had to reinstall git because it got wiped when I updated to university software. To work with new OS I needed to use xcode-select --install. I would maybe put this is the notes for people experiencing this issue."
1,"In your opinion, what could be improved?","Perhaps it could be nice to have some sort of information that when you use the codes, it does not necessarily show a check point even though the code we should insert worked fine. Example as follow; where the dot is red, which for me is designated that something is wrong or I need to do something more, so maybe just a sentence about that:> usethis::use_r(functions, open = FALSE)✔ Setting active project to 'C:/Users/dkr172/Desktop/AdvancedR3'• Edit 'R/functions.R'• Call `use_test()` to create a matching test file"
1,"In your opinion, what could be improved?","There is a typo in the paragraph before loading necessary packages. Than, copy and paste the code below into the script; should be Then"
1,"In your opinion, what could be improved?",This is fairly ok for me
1,"In your opinion, what worked well?",Clear description
1,"In your opinion, what worked well?",everything
1,"In your opinion, what worked well?","Everything was clear, however I am not sure if I managed to install Quarto."
1,"In your opinion, what worked well?",Everything was very clear and effective.
1,"In your opinion, what worked well?",Everything worked pretty well.
1,"In your opinion, what worked well?",generally all of the precourse material worked well
1,"In your opinion, what worked well?","Good walk through, easy to follow - hopefully it ensures that everything is set up before the course."
1,"In your opinion, what worked well?","I think it was fantastic, everything ran smoothly"
1,"In your opinion, what worked well?",I think it was well explained.
1,"In your opinion, what worked well?",I think overall it worked really well! Well done!
1,"In your opinion, what worked well?",It is good that you don't have to read a lot.
1,"In your opinion, what worked well?",It is well explained.
1,"In your opinion, what worked well?",It worked well for me
1,"In your opinion, what worked well?",Really like the pre-course material. Definitely helps getting started
1,"In your opinion, what worked well?",Section 3.1 Summary of Tasks provided a great overview
1,"In your opinion, what worked well?",The clear instructions and how to go over to set up
1,"In your opinion, what worked well?",The flow and directions
1,"In your opinion, what worked well?",The instructions were easy to follow and implement. I liked that you point towards previous course material as a refresher
1,"In your opinion, what worked well?",The links for extra information were useful for topics I knew less about. The code all ran nicely for each of the tasks.
1,"In your opinion, what worked well?",The pre-course material gives me a nice overview of what to expect from the course.
1,"In your opinion, what worked well?",the pre-course tasks material is clear and well detailed.
1,"In your opinion, what worked well?",The very detailed guidelines of installing software and retrieving data. The references to course material from previous courses.
1,"In your opinion, what worked well?",well explained
1,"In your opinion, what worked well?",Well explained and easy to follow
1,"In your opinion, what worked well?",What works well is having the check for config and for folder structure.
1,"In your opinion, what worked well?","Yes - my own fault for doing it so late - the first email must have drowned in the mailbox, but it was very good with the reminders from Luke :)"
