Questions,course_version,Responses
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,Write more reproducible code and automate more steps in data analysis.
Please describe the problems you've had.,1,I can't seem to have Git in my Rstudio (and I used to have it)
Please describe the problems you've had.,1,I got a problem with the last code to run r3:::check_project_setup_advanced(). I've deleted everything and runned the script again (3 times) and finally worked out! I also have a privacy error to access https://r-cubed-advanced.rostools.org/content/00-pre-course.html. I've used my phone to download the page and open it offline on my computer.
Please describe the problems you've had.,1,"I may have skipped something by accident but I didn't seem to have prodigenr installed by the time I reached Step 3.7, so I didn't have the option to create a new project type Scientific Analysis Project using prodigenr. This was easily fixed by installing prodigenr etc. Could have just been a me thing!"
Please describe the problems you've had.,1,"Somehow after a security update my git was missing, and it took a bit of work to reinstall it back. But it's back now :)"
Please describe the problems you've had.,1,"Using prodigen command line did not work to set up the project folder, so I need to do it manually by clicking the tabs. Also, the R version I've downloaded is not 4.2.0 but 4.1.1"
"In your opinion, what could be improved?",1,Advanced warning that r3::check_setup() will need to be coped into the survey
"In your opinion, what could be improved?",1,Can't think of any improvements - it works very well.
"In your opinion, what could be improved?",1,"i think the pre-course was fine! i guess the only thing is i did not notice when the precourse ended, so i kept going. But thats more me not paying attention (or the course material being so interesting i did not notice)"
"In your opinion, what could be improved?",1,I wouldn't change anything
"In your opinion, what could be improved?",1,"I've had some issues with my internet connection (hospital server), so I initially could not run the lines to access the r3 package (not placed on CRAN). Could be nice to add in the description that the internet connection could cause issues? As soon as I changed the connection to the visitor connection of the hospital, I could run the scripts :)"
"In your opinion, what could be improved?",1,More detail on Quarto can be given.
"In your opinion, what could be improved?",1,More R/Coding(Bash/Python) related workshop in the future!
"In your opinion, what could be improved?",1,na
"In your opinion, what could be improved?",1,NA
"In your opinion, what could be improved?",1,NA
"In your opinion, what could be improved?",1,NA
"In your opinion, what could be improved?",1,Nil
"In your opinion, what could be improved?",1,Not something right now
"In your opinion, what could be improved?",1,Nothing
"In your opinion, what could be improved?",1,Nothing
"In your opinion, what could be improved?",1,Nothing really
"In your opinion, what could be improved?",1,"Nothing really - for me all was fine, and little bumps in the road was due to my own mistakes/misjudgements."
"In your opinion, what could be improved?",1,"Nothing really, for me everything was very clear."
"In your opinion, what could be improved?",1,Nothing that comes to mind!
"In your opinion, what could be improved?",1,Nothing to comment.
"In your opinion, what could be improved?",1,"Nothing, I'm very satisfied"
"In your opinion, what could be improved?",1,Nothing!
"In your opinion, what could be improved?",1,"Nothing. One comment, I had to reinstall git because it got wiped when I updated to university software. To work with new OS I needed to use xcode-select --install. I would maybe put this is the notes for people experiencing this issue."
"In your opinion, what could be improved?",1,"Perhaps it could be nice to have some sort of information that when you use the codes, it does not necessarily show a check point even though the code we should insert worked fine. Example as follow; where the dot is red, which for me is designated that something is wrong or I need to do something more, so maybe just a sentence about that:> usethis::use_r(functions, open = FALSE)✔ Setting active project to 'C:/Users/dkr172/Desktop/AdvancedR3'• Edit 'R/functions.R'• Call `use_test()` to create a matching test file"
"In your opinion, what could be improved?",1,"There is a typo in the paragraph before loading necessary packages. Than, copy and paste the code below into the script; should be Then"
"In your opinion, what could be improved?",1,This is fairly ok for me
"In your opinion, what worked well?",1,Clear description
"In your opinion, what worked well?",1,everything
"In your opinion, what worked well?",1,"Everything was clear, however I am not sure if I managed to install Quarto."
"In your opinion, what worked well?",1,Everything was very clear and effective.
"In your opinion, what worked well?",1,Everything worked pretty well.
"In your opinion, what worked well?",1,generally all of the precourse material worked well
"In your opinion, what worked well?",1,"Good walk through, easy to follow - hopefully it ensures that everything is set up before the course."
"In your opinion, what worked well?",1,"I think it was fantastic, everything ran smoothly"
"In your opinion, what worked well?",1,I think it was well explained.
"In your opinion, what worked well?",1,I think overall it worked really well! Well done!
"In your opinion, what worked well?",1,It is good that you don't have to read a lot.
"In your opinion, what worked well?",1,It is well explained.
"In your opinion, what worked well?",1,It worked well for me
"In your opinion, what worked well?",1,Really like the pre-course material. Definitely helps getting started
"In your opinion, what worked well?",1,Section 3.1 Summary of Tasks provided a great overview
"In your opinion, what worked well?",1,The clear instructions and how to go over to set up
"In your opinion, what worked well?",1,The flow and directions
"In your opinion, what worked well?",1,The instructions were easy to follow and implement. I liked that you point towards previous course material as a refresher
"In your opinion, what worked well?",1,The links for extra information were useful for topics I knew less about. The code all ran nicely for each of the tasks.
"In your opinion, what worked well?",1,The pre-course material gives me a nice overview of what to expect from the course.
"In your opinion, what worked well?",1,the pre-course tasks material is clear and well detailed.
"In your opinion, what worked well?",1,The very detailed guidelines of installing software and retrieving data. The references to course material from previous courses.
"In your opinion, what worked well?",1,well explained
"In your opinion, what worked well?",1,Well explained and easy to follow
"In your opinion, what worked well?",1,What works well is having the check for config and for folder structure.
"In your opinion, what worked well?",1,"Yes - my own fault for doing it so late - the first email must have drowned in the mailbox, but it was very good with the reminders from Luke :)"
